city,pathway,weather,strategy,strategy_label,time_slice,role,year,delta_pct_electricity_kwh,delta_pct_hvac_electricity_kwh,delta_pct_cooling_electricity_kwh,delta_pct_heating_electricity_kwh,delta_pct_natural_gas_kwh,delta_pct_peak_hvac_electric_kw_15min,delta_pmv_violation_pct_occ,abs_pmv_violation_pct_occ,delta_adaptive_violation_pct_occ,abs_adaptive_violation_pct_occ,delta_mean_zone_p_tail_ge_0p20_pct_occ,abs_mean_zone_p_tail_ge_0p20_pct_occ,delta_max_zone_p_tail_ge_0p20_pct_occ,abs_max_zone_p_tail_ge_0p20_pct_occ,abs_p90_zone_p_tail_ge_0p20_pct_occ
Beijing,SSP585,beijing_ssp585_baseline_2020s_typical_2026,paperb_adaptive_band_relax,Adaptive,baseline_2020s,typical,2026,-4.619794946321619,-15.456078931323777,-10.31584060101587,-28.070163295431307,0.7346625900595314,-4.574447265338079,-39.523467432950184,58.022030651341,12.5,61.38649425287356,-8.135775862068964,11.320641762452109,-3.0771072796935,40.33764367816091,
Beijing,SSP585,beijing_ssp585_baseline_2020s_typical_2026,paperb_gate_tail_asym_relax,Mean TSV tail,baseline_2020s,typical,2026,-6.62154913826348,-22.15318803492071,-11.569535064299759,-59.69598208974668,6.267040809419483,-4.5744472653430375,-45.863266283524894,51.68223180076629,14.936542145593876,63.82303639846744,-1.1254789272030656,18.330938697318008,3.627873563218394,47.0426245210728,
Beijing,SSP585,beijing_ssp585_baseline_2020s_typical_2026,paperb_mu_relax,Expected TSV,baseline_2020s,typical,2026,-6.871567421636837,-22.9896542346098,-11.510892395433265,-62.513935752195195,9.196259429742714,-4.574447265346567,-45.16283524904214,52.38266283524904,15.64894636015326,64.53544061302682,3.035201149425287,22.49161877394636,4.022988505747122,47.43773946360153,
Beijing,SSP585,beijing_ssp585_baseline_2020s_typical_2026,paperb_pmv_exceedance_guard_relax,PMV guard,baseline_2020s,typical,2026,-1.7427396743222312,-5.830544921592415,-6.39446292865159,27.25170817000268,4.587159227028039,-2.1641617423350934,-18.995450191570868,78.55004789272031,5.36997126436782,54.25646551724138,13.014846743295024,32.4712643678161,4.980842911877389,48.3955938697318,
Beijing,SSP585,beijing_ssp585_baseline_2020s_typical_2026,paperb_ppd_guard_relax,PPD guard,baseline_2020s,typical,2026,-1.6332863271372893,-5.464355600844539,-5.944708833996028,27.249848719206387,4.571681423790898,-3.583363340722662,-16.852250957854395,80.69324712643679,5.429837164750957,54.31633141762452,13.080699233716473,32.537116858237546,4.938936781609193,48.3536877394636,
Beijing,SSP585,beijing_ssp585_late_2080s_heatwave_extreme_2089,paperb_adaptive_band_relax,Adaptive,late_2080s,heatwave_extreme,2089,-4.51536296592157,-11.48255509759644,-5.500594017780085,-55.17256548716665,3.832894868346312,0.0,-26.74808429118775,57.04022988505747,10.584291187739467,48.21599616858238,-4.424090038314175,8.806273946360154,1.1374521072796995,37.82327586206897,
Beijing,SSP585,beijing_ssp585_late_2080s_heatwave_extreme_2089,paperb_gate_tail_asym_relax,Mean TSV tail,late_2080s,heatwave_extreme,2089,-5.290471365944097,-13.453653540188984,-6.07217613707988,-73.4150096630196,9.703353267896857,0.0,-30.256226053639864,53.53208812260536,13.709291187739467,51.34099616858238,1.8139367816091951,15.044300766283524,5.441810344827587,42.127634099616856,
Beijing,SSP585,beijing_ssp585_late_2080s_heatwave_extreme_2089,paperb_mu_relax,Expected TSV,late_2080s,heatwave_extreme,2089,-5.456901058780821,-13.876883772685677,-6.057586630256303,-76.04543654114119,11.532354184111975,0.0,-30.040708812260547,53.747605363984675,14.697078544061299,52.32878352490421,5.298132183908047,18.528496168582375,5.525622605363985,42.21144636015325,
Beijing,SSP585,beijing_ssp585_late_2080s_heatwave_extreme_2089,paperb_pmv_exceedance_guard_relax,PMV guard,late_2080s,heatwave_extreme,2089,-2.735105546770283,-6.955365576490527,-4.0720799376026955,31.620173897982713,5.595581099194636,0.0,-11.913314176245223,71.875,5.902777777777779,43.53448275862069,12.775383141762452,26.00574712643678,5.783045977011497,42.468869731800766,
Beijing,SSP585,beijing_ssp585_late_2080s_heatwave_extreme_2089,paperb_ppd_guard_relax,PPD guard,late_2080s,heatwave_extreme,2089,-2.71688888568684,-6.909040659498615,-3.9538451116345934,31.564736238680226,5.5540805204846935,0.0,-10.979406130268202,72.80890804597702,6.190134099616856,43.82183908045977,12.781369731800764,26.011733716475092,5.944683908045981,42.63050766283525,
