scope,scaled_run_id,anchor_id,city,scenario,selector_role,zone_order,zone,selected_count,selected_denominator,selected_share,warm_protection_selected_count,warm_protection_denominator,warm_protection_selected_share,is_scenario_worst_cumulative_dh28_zone,worst_cumulative_dh28_scenario_count
scenario,SCALED-96-036,guangzhou_ssp245_present_typical,Guangzhou,ssp245,present_typical,6,Perimeter_top_ZN_1,1532,16704,0.0917145593869732,42,157,0.267515923566879,False,
scenario,SCALED-96-036,guangzhou_ssp245_present_typical,Guangzhou,ssp245,present_typical,7,Perimeter_top_ZN_4,873,16704,0.0522629310344828,3,157,0.0191082802547771,False,
scenario,SCALED-96-036,guangzhou_ssp245_present_typical,Guangzhou,ssp245,present_typical,8,Perimeter_bot_ZN_3,1079,16704,0.06459530651341,2,157,0.0127388535031847,False,
scenario,SCALED-96-036,guangzhou_ssp245_present_typical,Guangzhou,ssp245,present_typical,9,Perimeter_bot_ZN_2,732,16704,0.0438218390804598,1,157,0.00636942675159236,False,
scenario,SCALED-96-036,guangzhou_ssp245_present_typical,Guangzhou,ssp245,present_typical,10,Perimeter_bot_ZN_1,1546,16704,0.0925526819923372,23,157,0.146496815286624,True,
scenario,SCALED-96-036,guangzhou_ssp245_present_typical,Guangzhou,ssp245,present_typical,11,Perimeter_bot_ZN_4,545,16704,0.0326269157088123,2,157,0.0127388535031847,False,
scenario,SCALED-96-036,guangzhou_ssp245_present_typical,Guangzhou,ssp245,present_typical,12,Perimeter_mid_ZN_3,906,16704,0.0542385057471264,11,157,0.0700636942675159,False,
scenario,SCALED-96-036,guangzhou_ssp245_present_typical,Guangzhou,ssp245,present_typical,13,Perimeter_mid_ZN_2,494,16704,0.029573754789272,6,157,0.0382165605095541,False,
scenario,SCALED-96-036,guangzhou_ssp245_present_typical,Guangzhou,ssp245,present_typical,14,Perimeter_mid_ZN_1,1238,16704,0.0741139846743295,27,157,0.171974522292994,False,
scenario,SCALED-96-036,guangzhou_ssp245_present_typical,Guangzhou,ssp245,present_typical,15,Perimeter_mid_ZN_4,374,16704,0.022389846743295,4,157,0.0254777070063694,False,
scenario,SCALED-96-040,guangzhou_ssp245_future_extreme,Guangzhou,ssp245,future_extreme,1,Core_bottom,1761,16704,0.105423850574713,21,530,0.039622641509434,False,
scenario,SCALED-96-040,guangzhou_ssp245_future_extreme,Guangzhou,ssp245,future_extreme,2,Core_mid,1702,16704,0.101891762452107,43,530,0.0811320754716981,False,
scenario,SCALED-96-040,guangzhou_ssp245_future_extreme,Guangzhou,ssp245,future_extreme,3,Core_top,1016,16704,0.060823754789272,10,530,0.0188679245283019,False,
scenario,SCALED-96-040,guangzhou_ssp245_future_extreme,Guangzhou,ssp245,future_extreme,4,Perimeter_top_ZN_3,1587,16704,0.095007183908046,93,530,0.175471698113208,False,
scenario,SCALED-96-040,guangzhou_ssp245_future_extreme,Guangzhou,ssp245,future_extreme,5,Perimeter_top_ZN_2,803,16704,0.0480723180076628,26,530,0.0490566037735849,False,
scenario,SCALED-96-040,guangzhou_ssp245_future_extreme,Guangzhou,ssp245,future_extreme,6,Perimeter_top_ZN_1,1951,16704,0.11679837164751,126,530,0.237735849056604,False,
scenario,SCALED-96-040,guangzhou_ssp245_future_extreme,Guangzhou,ssp245,future_extreme,7,Perimeter_top_ZN_4,822,16704,0.0492097701149425,36,530,0.0679245283018868,False,
scenario,SCALED-96-040,guangzhou_ssp245_future_extreme,Guangzhou,ssp245,future_extreme,8,Perimeter_bot_ZN_3,778,16704,0.0465756704980843,4,530,0.00754716981132075,False,
scenario,SCALED-96-040,guangzhou_ssp245_future_extreme,Guangzhou,ssp245,future_extreme,9,Perimeter_bot_ZN_2,576,16704,0.0344827586206897,8,530,0.0150943396226415,False,
scenario,SCALED-96-040,guangzhou_ssp245_future_extreme,Guangzhou,ssp245,future_extreme,10,Perimeter_bot_ZN_1,1425,16704,0.085308908045977,41,530,0.0773584905660377,False,
scenario,SCALED-96-040,guangzhou_ssp245_future_extreme,Guangzhou,ssp245,future_extreme,11,Perimeter_bot_ZN_4,363,16704,0.0217313218390805,4,530,0.00754716981132075,False,
scenario,SCALED-96-040,guangzhou_ssp245_future_extreme,Guangzhou,ssp245,future_extreme,12,Perimeter_mid_ZN_3,1403,16704,0.0839918582375479,32,530,0.060377358490566,False,
scenario,SCALED-96-040,guangzhou_ssp245_future_extreme,Guangzhou,ssp245,future_extreme,13,Perimeter_mid_ZN_2,477,16704,0.0285560344827586,14,530,0.0264150943396226,False,
scenario,SCALED-96-040,guangzhou_ssp245_future_extreme,Guangzhou,ssp245,future_extreme,14,Perimeter_mid_ZN_1,1643,16704,0.0983596743295019,53,530,0.1,True,
scenario,SCALED-96-040,guangzhou_ssp245_future_extreme,Guangzhou,ssp245,future_extreme,15,Perimeter_mid_ZN_4,397,16704,0.0237667624521073,19,530,0.0358490566037736,False,
