scaled_run_id,anchor_id,physical_condition_id,city,scenario,selector_role,weather_year,strategy,policy_label,trace_rows,occupied_rows,zone_count,timestep_hours,worst_zone_dh_below_18c,worst_zone_dh_below_18c_zone,worst_zone_dh_below_16c,worst_zone_dh_below_16c_zone
SCALED-96-032,beijing_ssp585_future_extreme,beijing|ssp585|late_2080s|2089,Beijing,ssp585,future_extreme,2089,paperb_p90_tail_asym_relax,Learned-p90 policy,35040,16704,15,0.25,10.7670495052,perimeter_bot_zn_1,0,core_bottom
SCALED-96-033,guangzhou_ssp245_present_typical,guangzhou|ssp245|baseline_2020s|2025,Guangzhou,ssp245,present_typical,2025,diagnostic_reference,Fixed-setpoint reference,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-034,guangzhou_ssp245_present_typical,guangzhou|ssp245|baseline_2020s|2025,Guangzhou,ssp245,present_typical,2025,paperb_pmv_relax,Building-mean PMV policy,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-035,guangzhou_ssp245_present_typical,guangzhou|ssp245|baseline_2020s|2025,Guangzhou,ssp245,present_typical,2025,paperb_adaptive_band_relax,Adaptive-band benchmark,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-036,guangzhou_ssp245_present_typical,guangzhou|ssp245|baseline_2020s|2025,Guangzhou,ssp245,present_typical,2025,paperb_p90_tail_asym_relax,Learned-p90 policy,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-037,guangzhou_ssp245_future_extreme,guangzhou|ssp245|late_2080s|2088,Guangzhou,ssp245,future_extreme,2088,diagnostic_reference,Fixed-setpoint reference,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-038,guangzhou_ssp245_future_extreme,guangzhou|ssp245|late_2080s|2088,Guangzhou,ssp245,future_extreme,2088,paperb_pmv_relax,Building-mean PMV policy,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-039,guangzhou_ssp245_future_extreme,guangzhou|ssp245|late_2080s|2088,Guangzhou,ssp245,future_extreme,2088,paperb_adaptive_band_relax,Adaptive-band benchmark,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-040,guangzhou_ssp245_future_extreme,guangzhou|ssp245|late_2080s|2088,Guangzhou,ssp245,future_extreme,2088,paperb_p90_tail_asym_relax,Learned-p90 policy,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-041,guangzhou_ssp585_present_typical,guangzhou|ssp585|baseline_2020s|2025,Guangzhou,ssp585,present_typical,2025,diagnostic_reference,Fixed-setpoint reference,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-042,guangzhou_ssp585_present_typical,guangzhou|ssp585|baseline_2020s|2025,Guangzhou,ssp585,present_typical,2025,paperb_pmv_relax,Building-mean PMV policy,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-043,guangzhou_ssp585_present_typical,guangzhou|ssp585|baseline_2020s|2025,Guangzhou,ssp585,present_typical,2025,paperb_adaptive_band_relax,Adaptive-band benchmark,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-044,guangzhou_ssp585_present_typical,guangzhou|ssp585|baseline_2020s|2025,Guangzhou,ssp585,present_typical,2025,paperb_p90_tail_asym_relax,Learned-p90 policy,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-045,guangzhou_ssp585_future_extreme,guangzhou|ssp585|late_2080s|2086,Guangzhou,ssp585,future_extreme,2086,diagnostic_reference,Fixed-setpoint reference,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-046,guangzhou_ssp585_future_extreme,guangzhou|ssp585|late_2080s|2086,Guangzhou,ssp585,future_extreme,2086,paperb_pmv_relax,Building-mean PMV policy,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-047,guangzhou_ssp585_future_extreme,guangzhou|ssp585|late_2080s|2086,Guangzhou,ssp585,future_extreme,2086,paperb_adaptive_band_relax,Adaptive-band benchmark,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-048,guangzhou_ssp585_future_extreme,guangzhou|ssp585|late_2080s|2086,Guangzhou,ssp585,future_extreme,2086,paperb_p90_tail_asym_relax,Learned-p90 policy,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-049,houston_ssp245_present_typical,houston|ssp245|baseline_2020s|2027,Houston,ssp245,present_typical,2027,diagnostic_reference,Fixed-setpoint reference,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-050,houston_ssp245_present_typical,houston|ssp245|baseline_2020s|2027,Houston,ssp245,present_typical,2027,paperb_pmv_relax,Building-mean PMV policy,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-051,houston_ssp245_present_typical,houston|ssp245|baseline_2020s|2027,Houston,ssp245,present_typical,2027,paperb_adaptive_band_relax,Adaptive-band benchmark,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-052,houston_ssp245_present_typical,houston|ssp245|baseline_2020s|2027,Houston,ssp245,present_typical,2027,paperb_p90_tail_asym_relax,Learned-p90 policy,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-053,houston_ssp245_future_extreme,houston|ssp245|late_2080s|2081,Houston,ssp245,future_extreme,2081,diagnostic_reference,Fixed-setpoint reference,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-054,houston_ssp245_future_extreme,houston|ssp245|late_2080s|2081,Houston,ssp245,future_extreme,2081,paperb_pmv_relax,Building-mean PMV policy,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-055,houston_ssp245_future_extreme,houston|ssp245|late_2080s|2081,Houston,ssp245,future_extreme,2081,paperb_adaptive_band_relax,Adaptive-band benchmark,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-056,houston_ssp245_future_extreme,houston|ssp245|late_2080s|2081,Houston,ssp245,future_extreme,2081,paperb_p90_tail_asym_relax,Learned-p90 policy,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-057,houston_ssp585_present_typical,houston|ssp585|baseline_2020s|2025,Houston,ssp585,present_typical,2025,diagnostic_reference,Fixed-setpoint reference,35040,16704,15,0.25,2.54445384784,perimeter_bot_zn_1,0,core_bottom
SCALED-96-058,houston_ssp585_present_typical,houston|ssp585|baseline_2020s|2025,Houston,ssp585,present_typical,2025,paperb_pmv_relax,Building-mean PMV policy,35040,16704,15,0.25,1.20504758769,perimeter_bot_zn_1,0,core_bottom
SCALED-96-059,houston_ssp585_present_typical,houston|ssp585|baseline_2020s|2025,Houston,ssp585,present_typical,2025,paperb_adaptive_band_relax,Adaptive-band benchmark,35040,16704,15,0.25,2.53841379278,perimeter_bot_zn_1,0,core_bottom
SCALED-96-060,houston_ssp585_present_typical,houston|ssp585|baseline_2020s|2025,Houston,ssp585,present_typical,2025,paperb_p90_tail_asym_relax,Learned-p90 policy,35040,16704,15,0.25,2.39052325355,perimeter_bot_zn_1,0,core_bottom
SCALED-96-061,houston_ssp585_future_extreme,houston|ssp585|late_2080s|2086,Houston,ssp585,future_extreme,2086,diagnostic_reference,Fixed-setpoint reference,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-062,houston_ssp585_future_extreme,houston|ssp585|late_2080s|2086,Houston,ssp585,future_extreme,2086,paperb_pmv_relax,Building-mean PMV policy,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-063,houston_ssp585_future_extreme,houston|ssp585|late_2080s|2086,Houston,ssp585,future_extreme,2086,paperb_adaptive_band_relax,Adaptive-band benchmark,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-064,houston_ssp585_future_extreme,houston|ssp585|late_2080s|2086,Houston,ssp585,future_extreme,2086,paperb_p90_tail_asym_relax,Learned-p90 policy,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-065,kolkata_ssp245_present_typical,kolkata|ssp245|baseline_2020s|2026,Kolkata,ssp245,present_typical,2026,diagnostic_reference,Fixed-setpoint reference,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-066,kolkata_ssp245_present_typical,kolkata|ssp245|baseline_2020s|2026,Kolkata,ssp245,present_typical,2026,paperb_pmv_relax,Building-mean PMV policy,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-067,kolkata_ssp245_present_typical,kolkata|ssp245|baseline_2020s|2026,Kolkata,ssp245,present_typical,2026,paperb_adaptive_band_relax,Adaptive-band benchmark,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-068,kolkata_ssp245_present_typical,kolkata|ssp245|baseline_2020s|2026,Kolkata,ssp245,present_typical,2026,paperb_p90_tail_asym_relax,Learned-p90 policy,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-069,kolkata_ssp245_future_extreme,kolkata|ssp245|late_2080s|2086,Kolkata,ssp245,future_extreme,2086,diagnostic_reference,Fixed-setpoint reference,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-070,kolkata_ssp245_future_extreme,kolkata|ssp245|late_2080s|2086,Kolkata,ssp245,future_extreme,2086,paperb_pmv_relax,Building-mean PMV policy,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-071,kolkata_ssp245_future_extreme,kolkata|ssp245|late_2080s|2086,Kolkata,ssp245,future_extreme,2086,paperb_adaptive_band_relax,Adaptive-band benchmark,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-072,kolkata_ssp245_future_extreme,kolkata|ssp245|late_2080s|2086,Kolkata,ssp245,future_extreme,2086,paperb_p90_tail_asym_relax,Learned-p90 policy,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-073,kolkata_ssp585_present_typical,kolkata|ssp585|baseline_2020s|2029,Kolkata,ssp585,present_typical,2029,diagnostic_reference,Fixed-setpoint reference,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-074,kolkata_ssp585_present_typical,kolkata|ssp585|baseline_2020s|2029,Kolkata,ssp585,present_typical,2029,paperb_pmv_relax,Building-mean PMV policy,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-075,kolkata_ssp585_present_typical,kolkata|ssp585|baseline_2020s|2029,Kolkata,ssp585,present_typical,2029,paperb_adaptive_band_relax,Adaptive-band benchmark,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-076,kolkata_ssp585_present_typical,kolkata|ssp585|baseline_2020s|2029,Kolkata,ssp585,present_typical,2029,paperb_p90_tail_asym_relax,Learned-p90 policy,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-077,kolkata_ssp585_future_extreme,kolkata|ssp585|late_2080s|2080,Kolkata,ssp585,future_extreme,2080,diagnostic_reference,Fixed-setpoint reference,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-078,kolkata_ssp585_future_extreme,kolkata|ssp585|late_2080s|2080,Kolkata,ssp585,future_extreme,2080,paperb_pmv_relax,Building-mean PMV policy,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-079,kolkata_ssp585_future_extreme,kolkata|ssp585|late_2080s|2080,Kolkata,ssp585,future_extreme,2080,paperb_adaptive_band_relax,Adaptive-band benchmark,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-080,kolkata_ssp585_future_extreme,kolkata|ssp585|late_2080s|2080,Kolkata,ssp585,future_extreme,2080,paperb_p90_tail_asym_relax,Learned-p90 policy,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-081,phoenix_ssp245_present_typical,phoenix|ssp245|baseline_2020s|2026,Phoenix,ssp245,present_typical,2026,diagnostic_reference,Fixed-setpoint reference,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-082,phoenix_ssp245_present_typical,phoenix|ssp245|baseline_2020s|2026,Phoenix,ssp245,present_typical,2026,paperb_pmv_relax,Building-mean PMV policy,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-083,phoenix_ssp245_present_typical,phoenix|ssp245|baseline_2020s|2026,Phoenix,ssp245,present_typical,2026,paperb_adaptive_band_relax,Adaptive-band benchmark,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-084,phoenix_ssp245_present_typical,phoenix|ssp245|baseline_2020s|2026,Phoenix,ssp245,present_typical,2026,paperb_p90_tail_asym_relax,Learned-p90 policy,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-085,phoenix_ssp245_future_extreme,phoenix|ssp245|late_2080s|2086,Phoenix,ssp245,future_extreme,2086,diagnostic_reference,Fixed-setpoint reference,35040,16704,15,0.25,0,core_bottom,0,core_bottom
