city,sizing_contract_city_ddy,metric,policy,value_city_ddy,lower_is_preferred_city_ddy,rank_city_ddy,sizing_contract_accepted_denver,value_accepted_denver,lower_is_preferred_accepted_denver,rank_accepted_denver,rank_change_city_ddy_minus_denver,rank_changed
Guangzhou,city_ddy,annual_occupied_worst_zone_degree_hours_above_26c,pmv,5646.64233535,True,3,accepted_denver,9605.31193413,True,3,0,False
Guangzhou,city_ddy,annual_occupied_worst_zone_degree_hours_above_28c,adaptive_band,807.347327263,True,2,accepted_denver,3617.01154792,True,2,0,False
Guangzhou,city_ddy,annual_occupied_worst_zone_degree_hours_above_28c,fixed,461.369635495,True,1,accepted_denver,3371.23551044,True,1,0,False
Guangzhou,city_ddy,annual_occupied_worst_zone_degree_hours_above_28c,learned_p90,808.141389397,True,3,accepted_denver,3631.3976769,True,3,0,False
Guangzhou,city_ddy,annual_occupied_worst_zone_degree_hours_above_28c,pmv,817.615468358,True,4,accepted_denver,3673.36634275,True,4,0,False
Guangzhou,city_ddy,annual_occupied_worst_zone_degree_hours_above_30c,adaptive_band,22.4345029282,True,3,accepted_denver,792.116089452,True,2,1,True
Guangzhou,city_ddy,annual_occupied_worst_zone_degree_hours_above_30c,fixed,11.178264508,True,1,accepted_denver,763.471901091,True,1,0,False
Guangzhou,city_ddy,annual_occupied_worst_zone_degree_hours_above_30c,learned_p90,22.4164576358,True,2,accepted_denver,798.057464228,True,3,-1,True
Guangzhou,city_ddy,annual_occupied_worst_zone_degree_hours_above_30c,pmv,24.1950673549,True,4,accepted_denver,799.214403547,True,4,0,False
Guangzhou,city_ddy,extreme_336h_occupied_worst_zone_degree_hours_above_26c,adaptive_band,375.956754933,True,4,accepted_denver,760.073641045,True,1,3,True
Guangzhou,city_ddy,extreme_336h_occupied_worst_zone_degree_hours_above_26c,fixed,298.880214032,True,1,accepted_denver,761.745039931,True,4,-3,True
Guangzhou,city_ddy,extreme_336h_occupied_worst_zone_degree_hours_above_26c,learned_p90,375.956754933,True,3,accepted_denver,760.141054779,True,2,1,True
Guangzhou,city_ddy,extreme_336h_occupied_worst_zone_degree_hours_above_26c,pmv,373.85670785,True,2,accepted_denver,761.458194419,True,3,-1,True
Guangzhou,city_ddy,extreme_336h_occupied_worst_zone_degree_hours_above_28c,adaptive_band,95.3520170911,True,4,accepted_denver,440.073641045,True,1,3,True
Guangzhou,city_ddy,extreme_336h_occupied_worst_zone_degree_hours_above_28c,fixed,62.9764449078,True,1,accepted_denver,441.745039931,True,4,-3,True
Guangzhou,city_ddy,extreme_336h_occupied_worst_zone_degree_hours_above_28c,learned_p90,95.3520170909,True,3,accepted_denver,440.141054779,True,2,1,True
Guangzhou,city_ddy,extreme_336h_occupied_worst_zone_degree_hours_above_28c,pmv,94.0485476393,True,2,accepted_denver,441.458194419,True,3,-1,True
Guangzhou,city_ddy,extreme_336h_occupied_worst_zone_degree_hours_above_30c,adaptive_band,1.8361016317,True,4,accepted_denver,150.011360105,True,1,3,True
Guangzhou,city_ddy,extreme_336h_occupied_worst_zone_degree_hours_above_30c,fixed,0.818928779919,True,1,accepted_denver,150.575364927,True,4,-3,True
Guangzhou,city_ddy,extreme_336h_occupied_worst_zone_degree_hours_above_30c,learned_p90,1.83610163166,True,3,accepted_denver,150.035789433,True,2,1,True
Guangzhou,city_ddy,extreme_336h_occupied_worst_zone_degree_hours_above_30c,pmv,1.80589013574,True,2,accepted_denver,150.462505224,True,3,-1,True
Guangzhou,city_ddy,facility_occupied_cooling_setpoint_not_met_h,adaptive_band,1581.75,True,3,accepted_denver,2848,True,3,0,False
Guangzhou,city_ddy,facility_occupied_cooling_setpoint_not_met_h,fixed,2427.5,True,4,accepted_denver,3312.75,True,4,0,False
Guangzhou,city_ddy,facility_occupied_cooling_setpoint_not_met_h,learned_p90,1533.5,True,2,accepted_denver,2765,True,2,0,False
Guangzhou,city_ddy,facility_occupied_cooling_setpoint_not_met_h,pmv,1524.5,True,1,accepted_denver,2756,True,1,0,False
Guangzhou,city_ddy,facility_occupied_heating_setpoint_not_met_h,adaptive_band,7.25,True,2,accepted_denver,7.25,True,2,0,False
Guangzhou,city_ddy,facility_occupied_heating_setpoint_not_met_h,fixed,32,True,3,accepted_denver,32.25,True,3,0,False
Guangzhou,city_ddy,facility_occupied_heating_setpoint_not_met_h,learned_p90,6.25,True,1,accepted_denver,6.5,True,1,0,False
Guangzhou,city_ddy,facility_occupied_heating_setpoint_not_met_h,pmv,32.5,True,4,accepted_denver,33.25,True,4,0,False
Guangzhou,city_ddy,cooling_occupied_unmet_degree_hours_sum,adaptive_band,9328.47,True,2,accepted_denver,48685.98,True,1,1,True
Guangzhou,city_ddy,cooling_occupied_unmet_degree_hours_sum,fixed,25541.43,True,4,accepted_denver,100651.4,True,4,0,False
Guangzhou,city_ddy,cooling_occupied_unmet_degree_hours_sum,learned_p90,9160.64,True,1,accepted_denver,59914.56,True,2,-1,True
Guangzhou,city_ddy,cooling_occupied_unmet_degree_hours_sum,pmv,12346.35,True,3,accepted_denver,91788.99,True,3,0,False
Guangzhou,city_ddy,heating_occupied_unmet_degree_hours_sum,adaptive_band,13.49,True,2,accepted_denver,14.08,True,2,0,False
Guangzhou,city_ddy,heating_occupied_unmet_degree_hours_sum,fixed,72.85,True,3,accepted_denver,75.09,True,3,0,False
Guangzhou,city_ddy,heating_occupied_unmet_degree_hours_sum,learned_p90,12.32,True,1,accepted_denver,12.47,True,1,0,False
Guangzhou,city_ddy,heating_occupied_unmet_degree_hours_sum,pmv,80.55,True,4,accepted_denver,83.62,True,4,0,False
Phoenix,city_ddy,annual_total_delivered_site_energy_kwh,adaptive_band,572562.141758,True,3,accepted_denver,572304.465063,True,3,0,False
Phoenix,city_ddy,annual_total_delivered_site_energy_kwh,fixed,604106.5063,True,4,accepted_denver,601522.24516,True,4,0,False
Phoenix,city_ddy,annual_total_delivered_site_energy_kwh,learned_p90,559598.514799,True,1,accepted_denver,567319.991933,True,1,0,False
Phoenix,city_ddy,annual_total_delivered_site_energy_kwh,pmv,560896.898526,True,2,accepted_denver,569020.602026,True,2,0,False
Phoenix,city_ddy,extreme_336h_total_delivered_site_energy_kwh,adaptive_band,33365.2132986,True,3,accepted_denver,32456.457784,True,1,2,True
Phoenix,city_ddy,extreme_336h_total_delivered_site_energy_kwh,fixed,35031.1512083,True,4,accepted_denver,32735.979657,True,4,0,False
Phoenix,city_ddy,extreme_336h_total_delivered_site_energy_kwh,learned_p90,31766.2304015,True,1,accepted_denver,32458.3141113,True,2,-1,True
Phoenix,city_ddy,extreme_336h_total_delivered_site_energy_kwh,pmv,31874.2540299,True,2,accepted_denver,32643.6974791,True,3,-1,True
