anchor_id,anchor_role,city,scenario,comparator,delta_worst_zone_degree_hours_gt_28c,comparator_label,selector_role_label
houston_ssp585_future_extreme,future_extreme,Houston,ssp585,paperb_pmv_relax,-8.55979642395,Building-mean PMV policy,Late-century-hot-extreme selector role
houston_ssp585_present_typical,present_typical,Houston,ssp585,paperb_pmv_relax,-6.17726123314,Building-mean PMV policy,Present-typical selector role
kolkata_ssp245_future_extreme,future_extreme,Kolkata,ssp245,paperb_pmv_relax,17.039550409,Building-mean PMV policy,Late-century-hot-extreme selector role
kolkata_ssp245_present_typical,present_typical,Kolkata,ssp245,paperb_pmv_relax,39.95223508,Building-mean PMV policy,Present-typical selector role
kolkata_ssp585_future_extreme,future_extreme,Kolkata,ssp585,paperb_pmv_relax,-12.4782450051,Building-mean PMV policy,Late-century-hot-extreme selector role
kolkata_ssp585_present_typical,present_typical,Kolkata,ssp585,paperb_pmv_relax,40.2760718303,Building-mean PMV policy,Present-typical selector role
phoenix_ssp245_future_extreme,future_extreme,Phoenix,ssp245,paperb_pmv_relax,47.672524082,Building-mean PMV policy,Late-century-hot-extreme selector role
phoenix_ssp245_present_typical,present_typical,Phoenix,ssp245,paperb_pmv_relax,69.9240066876,Building-mean PMV policy,Present-typical selector role
phoenix_ssp585_future_extreme,future_extreme,Phoenix,ssp585,paperb_pmv_relax,-11.6119246076,Building-mean PMV policy,Late-century-hot-extreme selector role
phoenix_ssp585_present_typical,present_typical,Phoenix,ssp585,paperb_pmv_relax,51.7157611035,Building-mean PMV policy,Present-typical selector role
