city,scenario,variable,climate_variable,transform,delta_mean,delta_std,delta_min,delta_max
Ahmedabad,ssp585,wind_speed,sfcWind,multiplicative,0.9099506063511364,0.3383448753256519,0.09926649928650927,2.671127979367762
Ahmedabad,ssp585,GHI,rsds,multiplicative,0.9506459345447904,0.1039019055498286,0.4784395017396144,1.566192653004896
Beijing,ssp585,temp,tas_C,additive,2.554169339383851,3.805830300937392,-14.5905115,16.68740850000002
Beijing,ssp585,pressure,ps_hPa,additive,-0.2129381837304057,6.057559360131259,-30.43531250000001,24.10306499999979
Beijing,ssp585,wind_speed,sfcWind,multiplicative,0.9849235366661356,0.4251942604986793,0.1056496479448678,3.661852168063002
Beijing,ssp585,GHI,rsds,multiplicative,1.010709628436789,0.094334756542394,0.6433633431552174,1.326237795680799
Guangzhou,ssp585,temp,tas_C,additive,2.356381330653333,3.477225139413267,-17.92802400000001,14.77469949999999
Guangzhou,ssp585,pressure,ps_hPa,additive,-0.1514281090796784,4.12498041741822,-19.11031000000003,20.65318499999989
Guangzhou,ssp585,wind_speed,sfcWind,multiplicative,1.0553076584039,0.4392879735547335,0.1205634207154869,3.589864008597294
Guangzhou,ssp585,GHI,rsds,multiplicative,1.090783870306659,0.1732770117691511,0.6377844476667831,1.683431803218023
Houston,ssp585,temp,tas_C,additive,2.29306501618208,3.901088708026104,-16.128571,16.95571949999998
Houston,ssp585,pressure,ps_hPa,additive,-0.3210676060504198,5.38993231891353,-31.02178250000009,21.96337500000004
Houston,ssp585,wind_speed,sfcWind,multiplicative,1.016432709203435,0.3702133566304028,0.1007471307570968,3.282386332147796
Houston,ssp585,GHI,rsds,multiplicative,1.018279988332442,0.0968764498576712,0.6136121757693482,1.333813525596374
Kolkata,ssp585,temp,tas_C,additive,0.7236238447721223,2.721598155731886,-8.299862000000008,13.27257749999999
Kolkata,ssp585,pressure,ps_hPa,additive,0.1232925785048544,2.793083467459351,-14.43772749999994,9.976657500000101
Kolkata,ssp585,wind_speed,sfcWind,multiplicative,0.9095506183019454,0.378095124975406,0.1130260512962525,4.773941593766576
Kolkata,ssp585,GHI,rsds,multiplicative,0.949071375941419,0.07096265869517729,0.6415562443527217,1.13838360106431
Phoenix,ssp585,temp,tas_C,additive,2.682605862378015,3.600727375318568,-12.36065899999998,14.66351100000002
Phoenix,ssp585,pressure,ps_hPa,additive,-0.09105288044776029,3.716038432776094,-25.10302749999994,16.29096749999997
Phoenix,ssp585,wind_speed,sfcWind,multiplicative,0.9872707139766486,0.4172795856458814,0.1451870575699292,4.534128661283614
Phoenix,ssp585,GHI,rsds,multiplicative,0.9882991405001967,0.08090698946800433,0.6464112114996216,1.305386003881637
