controller,aggregation,tail_threshold,asym_threshold,dwell_minutes,occupied_records,request_records,request_share_pct,warm_request_share_pct,applied_actions,actions_per_occupied_day,blocked_by_dwell,blocked_by_bounds,reversals_within_2h,min_offset_c,max_offset_c,mean_signal_p_tail,p95_signal_p_tail,high_tail_share_pct
gate_tail_asym,max,0.1,0.05,0,16704,8875,53.13098659003831,99.79718309859155,34,0.19540229885057472,0,8841,0,-2.0,2.0,0.18415427831288092,0.4244617555051217,53.23874521072797
gate_tail_asym,max,0.1,0.05,60,16704,8875,53.13098659003831,99.79718309859155,22,0.12643678160919541,32,8821,0,-2.0,1.5,0.18415427831288092,0.4244617555051217,53.23874521072797
gate_tail_asym,max,0.1,0.05,120,16704,8875,53.13098659003831,99.79718309859155,18,0.10344827586206896,44,8813,0,-2.0,0.5,0.18415427831288092,0.4244617555051217,53.23874521072797
gate_tail_asym,max,0.1,0.1,0,16704,7475,44.74976053639847,100.0,4,0.022988505747126436,0,7471,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,53.23874521072797
gate_tail_asym,max,0.1,0.1,60,16704,7475,44.74976053639847,100.0,4,0.022988505747126436,9,7462,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,53.23874521072797
gate_tail_asym,max,0.1,0.1,120,16704,7475,44.74976053639847,100.0,4,0.022988505747126436,15,7456,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,53.23874521072797
gate_tail_asym,max,0.2,0.05,0,16704,6357,38.05675287356322,100.0,4,0.022988505747126436,0,6353,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,38.05675287356322
gate_tail_asym,max,0.2,0.05,60,16704,6357,38.05675287356322,100.0,4,0.022988505747126436,3,6350,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,38.05675287356322
gate_tail_asym,max,0.2,0.05,120,16704,6357,38.05675287356322,100.0,4,0.022988505747126436,3,6350,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,38.05675287356322
gate_tail_asym,max,0.2,0.1,0,16704,6357,38.05675287356322,100.0,4,0.022988505747126436,0,6353,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,38.05675287356322
gate_tail_asym,max,0.2,0.1,60,16704,6357,38.05675287356322,100.0,4,0.022988505747126436,3,6350,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,38.05675287356322
gate_tail_asym,max,0.2,0.1,120,16704,6357,38.05675287356322,100.0,4,0.022988505747126436,3,6350,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,38.05675287356322
gate_tail_asym,max,0.3,0.05,0,16704,3604,21.575670498084293,100.0,4,0.022988505747126436,0,3600,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,21.575670498084293
gate_tail_asym,max,0.3,0.05,60,16704,3604,21.575670498084293,100.0,4,0.022988505747126436,1,3599,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,21.575670498084293
gate_tail_asym,max,0.3,0.05,120,16704,3604,21.575670498084293,100.0,4,0.022988505747126436,5,3595,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,21.575670498084293
gate_tail_asym,max,0.3,0.1,0,16704,3604,21.575670498084293,100.0,4,0.022988505747126436,0,3600,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,21.575670498084293
gate_tail_asym,max,0.3,0.1,60,16704,3604,21.575670498084293,100.0,4,0.022988505747126436,1,3599,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,21.575670498084293
gate_tail_asym,max,0.3,0.1,120,16704,3604,21.575670498084293,100.0,4,0.022988505747126436,5,3595,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,21.575670498084293
