controller,aggregation,tail_threshold,asym_threshold,dwell_minutes,occupied_records,request_records,request_share_pct,warm_request_share_pct,applied_actions,actions_per_occupied_day,blocked_by_dwell,blocked_by_bounds,reversals_within_2h,min_offset_c,max_offset_c,mean_signal_p_tail,p95_signal_p_tail,high_tail_share_pct
gate_tail_asym,mean,0.2,0.1,0,16704,2290,13.709291187739463,100.0,4,0.022988505747126436,0,2286,0,-2.0,0.0,0.11411674882310988,0.2878825633744299,13.709291187739463
gate_tail_asym,mean,0.2,0.1,60,16704,2290,13.709291187739463,100.0,4,0.022988505747126436,5,2281,0,-2.0,0.0,0.11411674882310988,0.2878825633744299,13.709291187739463
gate_tail_asym,mean,0.2,0.1,120,16704,2290,13.709291187739463,100.0,4,0.022988505747126436,5,2281,0,-2.0,0.0,0.11411674882310988,0.2878825633744299,13.709291187739463
gate_tail_asym,mean,0.3,0.05,0,16704,641,3.837404214559387,100.0,4,0.022988505747126436,0,637,0,-2.0,0.0,0.11411674882310988,0.2878825633744299,3.837404214559387
gate_tail_asym,mean,0.3,0.05,60,16704,641,3.837404214559387,100.0,4,0.022988505747126436,6,631,0,-2.0,0.0,0.11411674882310988,0.2878825633744299,3.837404214559387
gate_tail_asym,mean,0.3,0.05,120,16704,641,3.837404214559387,100.0,4,0.022988505747126436,14,623,0,-2.0,0.0,0.11411674882310988,0.2878825633744299,3.837404214559387
gate_tail_asym,mean,0.3,0.1,0,16704,641,3.837404214559387,100.0,4,0.022988505747126436,0,637,0,-2.0,0.0,0.11411674882310988,0.2878825633744299,3.837404214559387
gate_tail_asym,mean,0.3,0.1,60,16704,641,3.837404214559387,100.0,4,0.022988505747126436,6,631,0,-2.0,0.0,0.11411674882310988,0.2878825633744299,3.837404214559387
gate_tail_asym,mean,0.3,0.1,120,16704,641,3.837404214559387,100.0,4,0.022988505747126436,14,623,0,-2.0,0.0,0.11411674882310988,0.2878825633744299,3.837404214559387
reference,p90,0.2,0.1,0,16704,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.16205001056209245,0.38119480770158765,30.052681992337163
reference,p90,0.2,0.1,60,16704,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.16205001056209245,0.38119480770158765,30.052681992337163
reference,p90,0.2,0.1,120,16704,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.16205001056209245,0.38119480770158765,30.052681992337163
pmv_rule,p90,0.2,0.1,0,16704,5802,34.73419540229885,97.24233023095485,12,0.06896551724137931,0,5790,0,-2.0,2.0,0.16205001056209245,0.38119480770158765,30.052681992337163
pmv_rule,p90,0.2,0.1,60,16704,5802,34.73419540229885,97.24233023095485,12,0.06896551724137931,35,5755,0,-2.0,2.0,0.16205001056209245,0.38119480770158765,30.052681992337163
pmv_rule,p90,0.2,0.1,120,16704,5802,34.73419540229885,97.24233023095485,12,0.06896551724137931,56,5734,0,-2.0,2.0,0.16205001056209245,0.38119480770158765,30.052681992337163
expected_tsv_rule,p90,0.2,0.1,0,16704,6190,37.05699233716475,100.0,4,0.022988505747126436,0,6186,0,-2.0,0.0,0.16205001056209245,0.38119480770158765,30.052681992337163
expected_tsv_rule,p90,0.2,0.1,60,16704,6190,37.05699233716475,100.0,4,0.022988505747126436,4,6182,0,-2.0,0.0,0.16205001056209245,0.38119480770158765,30.052681992337163
expected_tsv_rule,p90,0.2,0.1,120,16704,6190,37.05699233716475,100.0,4,0.022988505747126436,9,6177,0,-2.0,0.0,0.16205001056209245,0.38119480770158765,30.052681992337163
total_tail_mu,p90,0.1,0.1,0,16704,7862,47.066570881226056,99.834647672348,30,0.1724137931034483,0,7832,0,-2.0,1.5,0.16205001056209245,0.38119480770158765,47.066570881226056
total_tail_mu,p90,0.1,0.1,60,16704,7862,47.066570881226056,99.834647672348,18,0.10344827586206896,15,7829,0,-2.0,0.0,0.16205001056209245,0.38119480770158765,47.066570881226056
total_tail_mu,p90,0.1,0.1,120,16704,7862,47.066570881226056,99.834647672348,16,0.09195402298850575,27,7819,0,-2.0,0.0,0.16205001056209245,0.38119480770158765,47.066570881226056
total_tail_mu,p90,0.2,0.1,0,16704,5020,30.052681992337163,100.0,4,0.022988505747126436,0,5016,0,-2.0,0.0,0.16205001056209245,0.38119480770158765,30.052681992337163
total_tail_mu,p90,0.2,0.1,60,16704,5020,30.052681992337163,100.0,4,0.022988505747126436,4,5012,0,-2.0,0.0,0.16205001056209245,0.38119480770158765,30.052681992337163
total_tail_mu,p90,0.2,0.1,120,16704,5020,30.052681992337163,100.0,4,0.022988505747126436,8,5008,0,-2.0,0.0,0.16205001056209245,0.38119480770158765,30.052681992337163
