period,severity,weather_year,weather,strategy,electricity_change_vs_reference_pct,mean_p_tail,p_tail_ge_0_20_pct,max_zone_p_tail_ge_0_20_pct,mean_top_c,mean_pmv,mean_ppd_pct,pmv_abs_gt_1_0_pct,ppd_gt_25_pct,adaptive_80_violation_pct,adaptive_90_violation_pct,energy_relax_actions,guard_hold_records,warm_protection_actions
2030s,typical,2039,guangzhou_ssp585_near_2030s_typical_2039,paperb_pmv_exceedance_guard_relax,-2.4998865619898725,0.0856730690801654,2.1875,12.1875,25.75423397895903,0.3895385416666667,8.814696299563854,1.09375,1.40625,0.0,0.0,11,117,3
2030s,typical,2039,guangzhou_ssp585_near_2030s_typical_2039,paperb_pmv_relax,-2.335744070847845,0.0857903888140787,2.1875,12.34375,25.74435803316453,0.3871458333333333,8.766751528576046,1.09375,1.40625,0.0,0.0,27,0,29
2030s,typical,2039,guangzhou_ssp585_near_2030s_typical_2039,paperb_ppd_guard_relax,-2.494405555664414,0.0856492149957073,2.1875,12.1875,25.75339667055466,0.38924375,8.809972523501397,1.09375,1.40625,0.0,0.0,11,125,3
2050s,heatwave,2059,guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,diagnostic_reference,0.0,0.1129367387697061,11.09375,43.75,26.10592862662113,0.52609375,12.457966063725726,8.125,8.90625,0.0,0.15625,0,0,0
2050s,heatwave,2059,guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,paperb_adaptive_band_relax,-2.0869776494140013,0.1208947733325422,12.1875,43.90625,26.329713673699228,0.5833489583333333,13.654907874011013,8.90625,9.6875,0.0,0.0,10,0,0
2050s,heatwave,2059,guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,paperb_gate_tail_asym_relax,-2.0730762234648203,0.1209516107405797,12.03125,44.0625,26.330131532354464,0.5835385416666666,13.509415805173813,8.90625,9.375,0.0,0.0,19,0,9
2050s,heatwave,2059,guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,paperb_pmv_exceedance_guard_relax,-1.900091259191272,0.1210510251198382,12.34375,43.90625,26.32265472635526,0.5819239583333333,13.627880456508962,8.75,9.6875,0.0,0.0,11,293,16
2050s,heatwave,2059,guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,paperb_pmv_relax,-1.4779258442439436,0.1222081509679489,12.1875,46.40625,26.31925940905025,0.5829645833333333,13.689307328308756,9.375,10.0,0.0,0.0,38,0,58
2050s,heatwave,2059,guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,paperb_ppd_guard_relax,-1.88213708753735,0.1210918503127737,12.34375,44.0625,26.322500079849096,0.581959375,13.62835317730968,8.75,9.6875,0.0,0.0,11,297,17
2050s,hot,2057,guangzhou_ssp585_mid_2050s_hot_2057,diagnostic_reference,0.0,0.0882191226248888,6.875000000000001,18.125,25.626371051368096,0.3594802083333333,9.1106037885896,6.25,6.875000000000001,0.0,0.0,0,0,0
2050s,hot,2057,guangzhou_ssp585_mid_2050s_hot_2057,paperb_adaptive_band_relax,-1.779466174326605,0.1004302060243566,7.5,21.5625,25.990495443829253,0.4621406249999999,10.789109585701173,7.187499999999999,7.187499999999999,0.0,0.0,10,0,0
2050s,hot,2057,guangzhou_ssp585_mid_2050s_hot_2057,paperb_gate_tail_asym_relax,-1.7791683178629225,0.1004431389145696,7.5,21.5625,25.990445143317856,0.4621291666666666,10.672033845852177,7.187499999999999,7.03125,0.0,0.0,11,0,12
2050s,hot,2057,guangzhou_ssp585_mid_2050s_hot_2057,paperb_pmv_exceedance_guard_relax,-1.6067576473937306,0.1006278731270224,7.5,21.25,25.986839611005404,0.4616270833333333,10.777232255212729,7.187499999999999,7.187499999999999,0.0,0.0,11,162,12
2050s,hot,2057,guangzhou_ssp585_mid_2050s_hot_2057,paperb_pmv_relax,-1.3424760039433603,0.1012092308551091,7.5,23.4375,25.984665146270014,0.462190625,10.814968741494358,7.187499999999999,7.34375,0.0,0.0,28,0,44
2050s,hot,2057,guangzhou_ssp585_mid_2050s_hot_2057,paperb_ppd_guard_relax,-1.530124112419451,0.1006115778312063,7.5,21.09375,25.987012630705976,0.4621625,10.785602957852891,7.187499999999999,7.187499999999999,0.0,0.0,11,168,12
