weather,time_slice,severity,strategy,occupied_steps,electricity_kwh,natural_gas_kwh,mean_top_c,mean_pmv,mean_ppd_pct,ppd_gt_10_pct,ppd_gt_25_pct,ppd_gt_50_pct,pmv_abs_gt_0_5_pct,pmv_abs_gt_1_0_pct,adaptive_violation_pct,adaptive_80_violation_pct,adaptive_90_violation_pct,mean_adaptive_warm_slack_80_c,mean_adaptive_warm_slack_90_c,mean_p_tail,p95_p_tail,p_tail_ge_0_20_pct,mean_warm_tail,mean_cold_tail,cooling_sp_mean_c,cooling_sp_max_c,heating_sp_mean_c,heating_sp_min_c,warm_requests_pct,cold_requests_pct,no_risk_requests_pct,warm_protection_actions,cold_protection_actions,energy_relax_actions,guard_hold_records,idle_actions,dominant_request_source,max_zone_p_tail_ge_0_20_pct,max_zone_mean_p_tail,electricity_change_vs_reference_pct
guangzhou_ssp585_late_2080s_hot_2086,late_2080s,hot,paperb_gate_tail_asym_relax,640,28162.9838965838,875.341549354456,29.069876660184327,1.4738083333333334,49.85879935335656,99.84375,90.46875,49.84375,99.84375,90.0,2.96875,0.0,2.96875,2.850991364743418,1.8509913647434175,0.3240386749490128,0.3885751479875757,95.15625,0.3139476410536005,0.0100910338954121,23.802734088897704,24.5,21.708984035253525,21.5,95.15625,0.0,4.84375,132,0,9,0,499,tail_warm,99.53125,0.439944565535799,-0.0067722036581452
guangzhou_ssp585_late_2080s_hot_2086,late_2080s,hot,paperb_pmv_exceedance_guard_relax,640,28176.22228286673,875.3952950688719,29.069028216727475,1.473815625,50.04543910681556,99.6875,90.78125,49.6875,99.6875,90.0,2.8125,0.0,2.8125,2.8518398082002676,1.8518398082002676,0.3239744360343969,0.3877765435830078,95.15625,0.3138430167633746,0.0101314192710222,23.77376182079315,24.5,21.767120909690856,21.5,90.0,0.0,10.0,149,0,2,62,489,pmv_exceedance_warm,99.6875,0.4401836069006024,0.0402309470060702
guangzhou_ssp585_late_2080s_hot_2086,late_2080s,hot,paperb_pmv_relax,640,28176.253722019766,875.3953042438126,29.06903413866354,1.473815625,50.04546695838333,99.6875,90.78125,49.6875,99.6875,90.0,2.8125,0.0,2.8125,2.851833886264206,1.851833886264206,0.3239744174398423,0.3877765435830078,95.15625,0.313842601254329,0.0101318161855132,23.77031226158142,24.5,21.763671600818633,21.5,99.6875,0.0,0.3125,159,0,2,0,479,pmv_warm,99.6875,0.44023580665112,0.0403425723367822
guangzhou_ssp585_late_2080s_hot_2086,late_2080s,hot,paperb_ppd_guard_relax,640,28176.22228286673,875.3952950688719,29.069028216727475,1.473815625,50.04543910681556,99.6875,90.78125,49.6875,99.6875,90.0,2.8125,0.0,2.8125,2.8518398082002676,1.8518398082002676,0.3239744360343969,0.3877765435830078,95.15625,0.3138430167633746,0.0101314192710222,23.773761796951295,24.5,21.767120885849,21.5,90.78125,0.0,9.21875,150,0,2,57,488,ppd_protect_warm,99.6875,0.4401836069006024,0.0402309470060702
guangzhou_ssp585_late_2080s_hot_2086,late_2080s,hot,reference,640,28164.8912803814,875.3591530032039,29.06949530731306,1.4737552083333334,49.86354502029903,99.84375,90.46875,49.53125,99.6875,89.6875,2.96875,0.0,2.96875,2.8513727176146793,1.851372717614679,,,0.0,,,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,0,640,,0.0,,0.0
guangzhou_ssp585_late_2080s_typical_2087,late_2080s,typical,diagnostic_reference,640,25163.337722776676,877.1661356037264,26.545330318231017,0.67181875,17.43804044986235,61.40624999999999,27.187499999999996,0.0,60.46875000000001,26.406249999999996,0.0,0.0,0.0,4.364741786488844,3.3647417864888434,0.1554140766251548,0.316499657970976,32.96875,0.1327342625806479,0.0226798140445069,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,0,640,,56.875,0.2281853866259607,0.0
guangzhou_ssp585_late_2080s_typical_2087,late_2080s,typical,paperb_adaptive_band_relax,640,24782.570573805457,877.1279425324024,26.733158404555702,0.7208354166666667,18.573621966334937,66.875,28.90625,0.0,65.3125,27.500000000000004,0.0,0.0,0.0,4.1769137001641505,3.1769137001641505,0.1619918308853618,0.3191283462279932,33.59375,0.1404973495007053,0.0214944813846564,24.5,24.5,21.5,21.5,0.0,0.0,100.0,0,0,10,0,630,none,56.40625,0.2331304640000741,-1.5131822064549327
guangzhou_ssp585_late_2080s_typical_2087,late_2080s,typical,paperb_gate_tail_asym_relax,640,24783.649587925873,877.1269401074902,26.73303579817924,0.72085625,18.3945630047206,66.40625,28.125,0.0,65.3125,27.500000000000004,0.0,0.0,0.0,4.177036306540613,3.177036306540613,0.1619964326682587,0.3184269537509101,33.4375,0.1404882809125781,0.0215081517556805,24.2556640625,24.5,21.5046875,21.5,33.4375,0.0,66.5625,15,0,25,0,600,none,56.40625,0.2331733253476519,-1.5088941659242905
guangzhou_ssp585_late_2080s_typical_2087,late_2080s,typical,paperb_pmv_exceedance_guard_relax,640,24833.882512681823,877.1281355373858,26.728443845505502,0.72004375,18.571640538818073,66.40625,28.90625,0.0,65.15625,27.500000000000004,0.0,0.0,0.0,4.181628259214349,3.18162825921435,0.162685583861009,0.317473532766538,33.75,0.1410153466915632,0.0216702371694457,24.14572696685791,24.5,21.64689655303955,21.5,27.500000000000004,0.0,72.5,49,0,9,241,582,pmv_mild_hold,56.71874999999999,0.2338453461852858,-1.3092667345025566
guangzhou_ssp585_late_2080s_typical_2087,late_2080s,typical,paperb_pmv_relax,640,24894.43969482372,877.1326526538933,26.714939534956073,0.7169052083333333,18.48195236019308,66.09375,28.749999999999996,0.0,65.15625,27.34375,0.0,0.0,0.0,4.195132569763783,3.1951325697637833,0.1623758978742013,0.3182796808408102,33.59375,0.1405691534136859,0.0218067444605154,24.035351437330245,24.5,21.633593606948853,21.5,65.15625,0.0,34.84375,97,0,26,0,517,pmv_warm,58.75,0.2348018325313608,-1.0686103366548294
