weather,paperb_met,paperb_people_activity_w_per_person,strategy,occupied_steps,electricity_kwh,natural_gas_kwh,mean_top_c,mean_pmv,mean_ppd_pct,ppd_gt_10_pct,ppd_gt_25_pct,ppd_gt_50_pct,pmv_abs_gt_0_5_pct,pmv_abs_gt_1_0_pct,adaptive_violation_pct,adaptive_80_violation_pct,adaptive_90_violation_pct,mean_adaptive_warm_slack_80_c,mean_adaptive_warm_slack_90_c,mean_p_tail,p95_p_tail,p_tail_ge_0_20_pct,mean_warm_tail,mean_cold_tail,cooling_sp_mean_c,cooling_sp_max_c,heating_sp_mean_c,heating_sp_min_c,warm_requests_pct,cold_requests_pct,no_risk_requests_pct,warm_protection_actions,cold_protection_actions,energy_relax_actions,guard_hold_records,idle_actions,dominant_request_source,max_zone_p_tail_ge_0_20_pct,max_zone_mean_p_tail,electricity_change_vs_reference_pct
guangzhou_ssp585_late_2080s_hot_2086,1.0999999999999996,120.0,paperb_gate_tail_asym_relax,640,28162.9838965838,875.341549354456,29.069876660184327,1.4738083333333334,49.85879935335656,99.84375,90.46875,49.84375,99.84375,90.0,2.96875,0.0,2.96875,2.850991364743418,1.8509913647434177,0.3240386749490128,0.3885751479875757,95.15625,0.3139476410536005,0.010091033895412157,23.802734088897704,24.5,21.708984035253525,21.5,95.15625,0.0,4.84375,132,0,9,0,499,tail_warm,99.53125,0.439944565535799,-0.006772203658145237
guangzhou_ssp585_late_2080s_hot_2086,1.0999999999999996,120.0,paperb_pmv_exceedance_guard_relax,640,28176.22228286673,875.3952950688719,29.069028216727475,1.473815625,50.04543910681556,99.6875,90.78125,49.6875,99.6875,90.0,2.8125,0.0,2.8125,2.8518398082002676,1.8518398082002676,0.32397443603439696,0.3877765435830078,95.15625,0.31384301676337467,0.010131419271022254,23.77376182079315,24.5,21.767120909690856,21.5,90.0,0.0,10.0,149,0,2,62,489,pmv_exceedance_warm,99.6875,0.44018360690060243,0.04023094700607022
guangzhou_ssp585_late_2080s_hot_2086,1.0999999999999996,120.0,paperb_ppd_guard_relax,640,28176.22228286673,875.3952950688719,29.069028216727475,1.473815625,50.04543910681556,99.6875,90.78125,49.6875,99.6875,90.0,2.8125,0.0,2.8125,2.8518398082002676,1.8518398082002676,0.32397443603439696,0.3877765435830078,95.15625,0.31384301676337467,0.010131419271022254,23.773761796951295,24.5,21.767120885849,21.5,90.78125,0.0,9.21875,150,0,2,57,488,ppd_protect_warm,99.6875,0.44018360690060243,0.04023094700607022
guangzhou_ssp585_late_2080s_hot_2086,1.0999999999999996,120.0,reference,640,28164.891280381402,875.3591530032039,29.06949530731306,1.4737552083333334,49.86354502029903,99.84375,90.46875,49.53125,99.6875,89.6875,2.96875,0.0,2.96875,2.8513727176146793,1.851372717614679,,,0.0,,,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,0,640,,0.0,,0.0
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.8550000000000002,93.20000000000002,diagnostic_reference,640,24570.480831851426,877.1470055053552,26.0535860912888,-0.32913749999999997,10.45831690898664,45.3125,0.0,0.0,42.8125,0.0,0.625,0.0,0.625,4.795732834504934,3.7957328345049333,0.07024010981496971,0.07586683388292943,0.0,0.014206162761259467,0.05603394705371019,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,0,640,,0.0,0.08199207506050708,0.0
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.8550000000000002,93.20000000000002,paperb_adaptive_band_relax,640,24045.035450608946,877.1266261502303,26.28526256413712,-0.2496010416666666,8.828551494467906,35.9375,0.0,0.0,33.90625,0.0,0.0,0.0,0.0,4.564056361656607,3.5640563616566068,0.07067312133109135,0.07624890854940931,0.0,0.013899719856512612,0.05677340147457869,24.5,24.5,21.5,21.5,0.0,0.0,100.0,0,0,10,0,630,none,0.0,0.08252877097786418,-2.138522989592173
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.8550000000000002,93.20000000000002,paperb_gate_tail_asym_relax,640,24045.035450608946,877.1266261502303,26.28526256413712,-0.2496010416666666,8.920643356495306,36.875,0.0,0.0,33.90625,0.0,0.0,0.0,0.0,4.564056361656607,3.5640563616566068,0.07067312133109135,0.07624890854940931,0.0,0.013899719856512612,0.05677340147457869,24.5,24.5,21.5,21.5,0.0,0.0,100.0,0,0,10,0,630,none,0.0,0.08252877097786418,-2.138522989592173
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.8550000000000002,93.20000000000002,paperb_pmv_exceedance_guard_relax,640,24070.593882089495,877.1401515512567,26.265238028717015,-0.25701979166666666,9.035151202425588,36.71875,0.0,0.0,34.6875,0.0,0.0,0.0,0.0,4.584080897076714,3.5840808970767135,0.07045512608694626,0.07602677455905679,0.0,0.013899267291584388,0.05655585879536181,24.4765625,24.5,21.5234375,21.5,0.0,0.0,100.0,0,0,10,222,630,none,0.0,0.08252593789188103,-2.034502105119218
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.8550000000000002,93.20000000000002,paperb_ppd_guard_relax,640,24073.455508175073,877.1404668853129,26.265157547039184,-0.25698541666666663,9.034291516250244,36.71875,0.0,0.0,34.6875,0.0,0.0,0.0,0.0,4.5841613787545485,3.5841613787545485,0.07046297230593015,0.07602677455905679,0.0,0.013905200051848421,0.05655777225408169,24.47578125,24.5,21.52421875,21.5,0.0,0.0,100.0,0,0,10,235,630,none,0.0,0.08255360588887364,-2.0228555032266393
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.8550000000000002,93.20000000000002,reference,640,24570.480831851426,877.1470055053552,26.0535860912888,-0.32913749999999997,10.45831690898664,45.3125,0.0,0.0,42.8125,0.0,0.625,0.0,0.625,4.795732834504934,3.7957328345049333,,,0.0,,,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,0,640,,0.0,,0.0
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.89,93.20000000000002,diagnostic_reference,640,24570.480831851426,877.1470055053552,26.0535860912888,-0.15034895833333334,8.311178397152911,28.4375,0.0,0.0,26.09375,0.0,0.625,0.0,0.625,4.795732834504934,3.7957328345049333,0.07850446075167958,0.13697335737854516,0.0,0.05489798024922414,0.023606480502455385,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,0,640,,4.84375,0.11083923728138148,0.0
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.89,93.20000000000002,paperb_adaptive_band_relax,640,24045.035450608946,877.1266261502303,26.28526256413712,-0.07447916666666665,7.420471369630244,11.875,0.0,0.0,10.46875,0.0,0.0,0.0,0.0,4.564056361656607,3.5640563616566068,0.08549907857076113,0.14051851095139858,0.0,0.060630648213169394,0.024868430357591696,24.5,24.5,21.5,21.5,0.0,0.0,100.0,0,0,10,0,630,none,5.625,0.11683283284354666,-2.138522989592173
