weather,strategy,n_steps,occupied_steps,electricity_kwh,natural_gas_kwh,peak_facility_electric_kw_15min,peak_zone_hvac_kw_15min,mean_operative_temp_c_occ,mean_pmv_occ,pmv_abs_gt_0p5_pct_occ,pmv_abs_gt_1p0_pct_occ,mean_ppd_pct_occ,ppd_gt_10_pct_occ,ppd_gt_25_pct_occ,adaptive_80_violation_pct_occ,mean_expected_tsv_occ,mean_p_tail_occ,mean_warm_tail_occ,mean_cold_tail_occ,mean_zone_p_tail_ge_0p20_pct_occ,max_zone_p_tail_mean_occ,max_zone_p_tail_ge_0p20_pct_occ,any_zone_high_mean_zone_not_high_pct_occ,relax_action_pct_all,guard_hold_pct_all,hvac_on_pct_all,horizon,period,severity,weather_year,period_order,severity_order,reference_electricity_kwh,reference_peak_facility_electric_kw_15min,reference_peak_zone_hvac_kw_15min,electricity_delta_pct_vs_reference,electricity_savings_pct_vs_reference,peak_facility_delta_pct_vs_reference,peak_zone_hvac_delta_pct_vs_reference
guangzhou_ssp585_baseline_2020s_hot_2028,paperb_pmv_exceedance_guard_relax,35040,16704,516510.7443857839,27606.75765069702,168.36047583211052,160.05320433139153,25.751233814536693,0.3648109833971903,28.388409961685824,6.698994252873564,10.402253992575448,29.304358237547895,7.261733716475096,,0.27690359750237004,0.10471410647150815,0.07715532724831803,0.027558779223190086,8.668582375478927,0.16190752940461337,28.48419540229885,19.81561302681992,4.046803652968037,10.339611872146119,59.55479452054795,baseline,2020s,hot,2028,0,1,523669.1590879225,168.36120105265417,160.34087021425984,-1.366972749475337,1.366972749475337,-0.00043075277386117605,-0.1794089569826518
guangzhou_ssp585_baseline_2020s_hot_2028,paperb_ppd_guard_relax,35040,16704,516571.4285267308,27606.635131698622,168.36046962102893,160.05472082795097,25.75071657885785,0.3646987148786718,28.400383141762454,6.687021072796935,10.398923544844699,29.292385057471265,7.249760536398467,,0.27678445118324985,0.10469312839600292,0.07713096476503153,0.027562163630971328,8.638649425287356,0.1619205339365612,28.478208812260537,19.83955938697318,4.309360730593608,10.507990867579908,59.55479452054795,baseline,2020s,hot,2028,0,1,523669.1590879225,168.36120105265417,160.34087021425984,-1.355384490000111,1.355384490000111,-0.000434441914565209,-0.17846316159223496
guangzhou_ssp585_baseline_2020s_hot_2028,reference,35040,16704,523669.1590879225,27424.527682970605,168.36120105265417,160.34087021425984,25.392552881742958,0.2632647270114942,24.377394636015325,5.5375957854406135,9.278940904652252,24.491139846743295,5.8548850574712645,,,,,,0.0,,0.0,0.0,0.0,0.0,59.36929223744293,baseline,2020s,hot,2028,0,1,523669.1590879225,168.36120105265417,160.34087021425984,0.0,-0.0,0.0,0.0
guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,diagnostic_reference,35040,16704,519185.5567362218,27986.489315033585,169.93020857593,159.046313917564,25.387653789613132,0.26424109993614303,26.287116858237546,6.315852490421456,9.774811709709978,26.478687739463602,6.8486590038314175,,0.21616159086018638,0.09616095792843381,0.06664361627655502,0.02951734165187871,8.147749042145595,0.1462168987448653,25.718390804597703,17.57064176245211,0.0,0.0,59.340753424657535,baseline,2020s,heatwave_extreme,2026,0,2,519185.5567362218,169.93020857593,159.046313917564,0.0,-0.0,0.0,0.0
guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,paperb_adaptive_band_relax,35040,16704,511252.54205565056,28161.360776619546,169.92255234143676,158.80549317129834,25.729226557317176,0.3603839000638569,30.627394636015325,7.519157088122605,10.838044298738103,31.309865900383144,8.081896551724139,,0.2879374380519513,0.10725365663084835,0.07922672925173618,0.02802692737911213,9.54861111111111,0.1597137819589685,29.32830459770115,19.779693486590038,0.9103881278538813,3.3333333333333335,59.62043378995434,baseline,2020s,heatwave_extreme,2026,0,2,519185.5567362218,169.93020857593,159.046313917564,-1.5279729140465492,1.5279729140465492,-0.0045055170339702855,-0.15141548416549577
guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,paperb_gate_tail_asym_relax,35040,16704,511233.8471049227,28189.380884469727,169.92291188353738,159.4292089927095,25.737761472998095,0.36284402937420174,30.51963601532567,7.513170498084292,10.726077083371399,30.56154214559387,7.908285440613026,,0.28901762965679273,0.10729002789047143,0.07935742770662323,0.027932600183848133,9.566570881226054,0.15978240401238641,29.334291187739463,19.767720306513407,5.664954337899544,0.0,59.61472602739726,baseline,2020s,heatwave_extreme,2026,0,2,519185.5567362218,169.93020857593,159.046313917564,-1.5315737366205506,1.5315737366205506,-0.004293934818166978,0.24074438804282394
guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,paperb_mu_relax,35040,16704,511308.41484555736,28189.40733204857,169.9231829540834,163.86830510389427,25.736612873805463,0.3625422254150702,30.465756704980844,7.495210727969348,10.718930051331924,30.555555555555557,7.908285440613026,,0.2888150885277508,0.10727529744937905,0.07932894294005384,0.027946354509325155,9.596503831417625,0.15987853851412628,29.346264367816094,19.749760536398465,7.936643835616438,0.0,59.61187214611871,baseline,2020s,heatwave_extreme,2026,0,2,519185.5567362218,169.93020857593,159.046313917564,-1.517211291504883,1.517211291504883,-0.004134416067336222,3.031815744456412
guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,paperb_pmv_exceedance_guard_relax,35040,16704,511940.2228828486,28147.14514375167,169.92332611662846,159.5942176366644,25.73493147836505,0.3623262292464878,30.334051724137932,7.471264367816093,10.806441240875072,31.100335249042143,8.051963601532568,,0.28858268467516823,0.10735598066935188,0.07935429272668537,0.028001687942666456,9.608477011494253,0.1601230779806962,29.51388888888889,19.905411877394634,4.4035388127853885,10.898972602739725,59.6175799086758,baseline,2020s,heatwave_extreme,2026,0,2,519185.5567362218,169.93020857593,159.046313917564,-1.3955191471272665,1.3955191471272665,-0.004050168218605599,0.34449318918789995
guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,paperb_ppd_guard_relax,35040,16704,511993.30344415543,28149.638954071062,169.9233437933285,159.59333849128961,25.734849016713312,0.3623299409323115,30.334051724137932,7.465277777777778,10.8051114019044,31.082375478927204,8.051963601532568,,0.2885558537987233,0.10735706418979477,0.07935433871272117,0.02800272547707353,9.614463601532568,0.1601830102548957,29.549808429118773,19.935344827586206,4.688926940639269,10.978881278538813,59.61472602739726,baseline,2020s,heatwave_extreme,2026,0,2,519185.5567362218,169.93020857593,159.046313917564,-1.385295333961012,1.385295333961012,-0.004039765889196634,0.34394042857801566
guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,reference,35040,16704,519185.5567362218,27986.489315033585,169.93020857593,159.046313917564,25.387653789613132,0.26424109993614303,26.287116858237546,6.315852490421456,9.774811709709978,26.478687739463602,6.8486590038314175,,,,,,0.0,,0.0,0.0,0.0,0.0,59.340753424657535,baseline,2020s,heatwave_extreme,2026,0,2,519185.5567362218,169.93020857593,159.046313917564,0.0,-0.0,0.0,0.0
