weather,paperb_met,paperb_people_activity_w_per_person,strategy,electricity_change_vs_reference_pct,electricity_kwh,mean_top_c,mean_pmv,mean_ppd_pct,pmv_abs_gt_1_0_pct,ppd_gt_25_pct,adaptive_90_violation_pct,mean_p_tail,p_tail_ge_0_20_pct,max_zone_p_tail_ge_0_20_pct,cooling_sp_mean_c,warm_protection_actions,energy_relax_actions,guard_hold_records,dominant_request_source
guangzhou_ssp585_late_2080s_hot_2086,0.89,93.20000000000002,paperb_ppd_guard_relax,-0.1070176203013417,28013.053842056757,28.98733972735213,1.0447729166666666,31.6071126075971,53.75,56.25,0.46875,0.203454203058911,59.84374999999999,78.4375,23.954101943969725,73,13,205,ppd_protect_warm
guangzhou_ssp585_late_2080s_hot_2086,0.89,93.20000000000002,reference,0.0,28043.064862732415,28.9768686030203,1.041215625,31.36943455539357,53.75,54.84375,0.46875,,0.0,0.0,24.0,0,0,0,
guangzhou_ssp585_late_2080s_hot_2086,0.9320000000000002,93.20000000000002,diagnostic_reference,0.0,28043.064862732415,28.9768686030203,1.174659375,36.55909246344883,63.4375,64.21875,0.46875,0.20160327892395,61.875,87.03125,24.0,0,0,0,
guangzhou_ssp585_late_2080s_hot_2086,0.9320000000000002,93.20000000000002,paperb_adaptive_band_relax,-0.1346225594500372,28005.31257106597,28.98660498338402,1.1776885416666665,36.82250543624171,63.59375000000001,65.0,0.46875,0.2015748181151544,62.5,86.71875,24.5,0,10,3,none
guangzhou_ssp585_late_2080s_hot_2086,0.9320000000000002,93.20000000000002,paperb_gate_tail_asym_relax,-0.1228287400015126,28008.619919503715,28.98606750513735,1.177471875,36.655480617504125,63.4375,64.53125,0.46875,0.2015293554083546,62.65625,87.03125,24.062109375,33,43,0,tail_warm
guangzhou_ssp585_late_2080s_hot_2086,0.9320000000000002,93.20000000000002,paperb_pmv_exceedance_guard_relax,-0.0522318677023903,28028.417446193616,28.9819817874681,1.1763906250000002,36.779442506863894,63.4375,65.15625,0.46875,0.2016741125105663,62.03125000000001,86.875,23.86406331062317,98,8,194,pmv_exceedance_warm
guangzhou_ssp585_late_2080s_hot_2086,0.9320000000000002,93.20000000000002,paperb_ppd_guard_relax,-0.0522318677023903,28028.417446193616,28.9819817874681,1.1763906250000002,36.779442506863894,63.4375,65.15625,0.46875,0.2016741125105663,62.03125000000001,86.875,23.860742962360384,103,8,184,ppd_protect_warm
guangzhou_ssp585_late_2080s_hot_2086,0.9320000000000002,93.20000000000002,reference,0.0,28043.064862732415,28.9768686030203,1.174659375,36.55909246344883,63.4375,64.21875,0.46875,,0.0,0.0,24.0,0,0,0,
guangzhou_ssp585_late_2080s_hot_2086,1.0999999999999996,120.0,diagnostic_reference,0.0,28164.8912803814,29.06949530731306,1.4737552083333334,49.86354502029903,89.6875,90.46875,2.96875,0.3240378983301596,95.15625,99.6875,24.0,0,0,0,
guangzhou_ssp585_late_2080s_hot_2086,1.0999999999999996,120.0,paperb_adaptive_band_relax,-0.1340779514372947,28127.128371128125,29.07803574758268,1.4758354166666667,50.12925692730188,89.84375,91.25,3.28125,0.3246446949790939,95.3125,99.53125,24.5,0,10,19,none
guangzhou_ssp585_late_2080s_hot_2086,1.0999999999999996,120.0,paperb_gate_tail_asym_relax,-0.0067722036581452,28162.9838965838,29.069876660184327,1.4738083333333334,49.85879935335656,90.0,90.46875,2.96875,0.3240386749490128,95.15625,99.53125,23.802734088897704,132,9,0,tail_warm
guangzhou_ssp585_late_2080s_hot_2086,1.0999999999999996,120.0,paperb_pmv_exceedance_guard_relax,0.0402309470060702,28176.22228286673,29.069028216727475,1.473815625,50.04543910681556,90.0,90.78125,2.8125,0.3239744360343969,95.15625,99.6875,23.77376182079315,149,2,62,pmv_exceedance_warm
