weather,strategy,n_steps,occupied_steps,electricity_kwh,natural_gas_kwh,peak_facility_electric_kw_15min,peak_zone_hvac_kw_15min,mean_operative_temp_c_occ,mean_pmv_occ,pmv_abs_gt_0p5_pct_occ,pmv_abs_gt_1p0_pct_occ,mean_ppd_pct_occ,ppd_gt_10_pct_occ,ppd_gt_25_pct_occ,adaptive_80_violation_pct_occ,mean_expected_tsv_occ,mean_p_tail_occ,mean_warm_tail_occ,mean_cold_tail_occ,mean_zone_p_tail_ge_0p20_pct_occ,max_zone_p_tail_mean_occ,max_zone_p_tail_ge_0p20_pct_occ,any_zone_high_mean_zone_not_high_pct_occ,relax_action_pct_all,guard_hold_pct_all,hvac_on_pct_all,horizon,period,severity,weather_year,period_order,severity_order,reference_electricity_kwh,reference_peak_facility_electric_kw_15min,reference_peak_zone_hvac_kw_15min,electricity_delta_pct_vs_reference,electricity_savings_pct_vs_reference,peak_facility_delta_pct_vs_reference,peak_zone_hvac_delta_pct_vs_reference,paperb_weather,panel_role,time_slice,year_window,selected_weather_year,source_severity,selector,hot_year_same_as_stress,mean_T_out,CDD18_hourly,max_T_out,hours_temp_ge_35,time_order,role_order
guangzhou_ssp585_near_2030s_typical_2039,paperb_gate_tail_asym_relax,35040,16704,519109.8734756167,27036.68581551468,168.30483393968564,165.77736783842747,25.712762156256,0.3534799249680714,28.292624521072796,4.914990421455938,9.952130570838737,28.520114942528735,5.411877394636015,,0.2653946349224017,0.1011995510488762,0.073364462983689,0.027835088065187,7.070162835249043,0.1540120119615391,27.11925287356322,20.049090038314176,4.42351598173516,0.0,59.29223744292238,near,2030s,typical,2039,1,0,527365.469889419,168.30655276053918,164.71005716911455,-1.5654412139523344,1.5654412139523344,-0.0010212441674761,0.6479936244676798,guangzhou_ssp585_near_2030s_typical_2039,typical,near_2030s,2030-2039,2039,typical,nearest_median_CDD18_within_time_slice,False,23.586146,57982.795143,34.811663,0,1,0
guangzhou_ssp585_near_2030s_typical_2039,paperb_mu_relax,35040,16704,519138.86602678103,27036.701961929502,168.30475101590537,165.7804774769125,25.71153511849463,0.353121727330779,28.250718390804597,4.9030172413793105,9.942658212507292,28.490181992337167,5.387931034482758,,0.2651518356913012,0.1011608628165583,0.0733129585921109,0.0278479042244473,7.08213601532567,0.1539424177137735,27.12523946360153,20.04310344827586,6.381278538812786,0.0,59.28938356164384,near,2030s,typical,2039,1,0,527365.469889419,168.30655276053918,164.71005716911455,-1.5599435936454076,1.5599435936454076,-0.0010705136575195,0.6498815714081729,guangzhou_ssp585_near_2030s_typical_2039,typical,near_2030s,2030-2039,2039,typical,nearest_median_CDD18_within_time_slice,False,23.586146,57982.795143,34.811663,0,1,0
guangzhou_ssp585_near_2030s_typical_2039,paperb_pmv_exceedance_guard_relax,35040,16704,519841.3914266558,27030.20357197872,168.30519397939298,165.76816151520234,25.709447479355113,0.3528481800766284,28.15493295019157,4.891044061302682,10.03735836685734,29.142720306513407,5.549568965517242,,0.2648591278136507,0.1012640805457211,0.0733482121756493,0.0279158683700717,7.058189655172415,0.1542665946197893,27.197078544061306,20.13888888888889,3.1678082191780823,11.090182648401829,59.30936073059361,near,2030s,typical,2039,1,0,527365.469889419,168.30655276053918,164.71005716911455,-1.426729448998798,1.426729448998798,-0.0008073251599016,0.6424042127563423,guangzhou_ssp585_near_2030s_typical_2039,typical,near_2030s,2030-2039,2039,typical,nearest_median_CDD18_within_time_slice,False,23.586146,57982.795143,34.811663,0,1,0
guangzhou_ssp585_near_2030s_typical_2039,paperb_ppd_guard_relax,35040,16704,519929.0477554209,27030.196363951294,168.30519079061534,165.76682914546612,25.708676380716604,0.3526776021711367,28.142959770114945,4.891044061302682,10.033317332286972,29.10081417624521,5.555555555555555,,0.2647004138138288,0.1012441929105395,0.0733188111674462,0.0279253817430932,7.064176245210728,0.154307211818752,27.23299808429119,20.168821839080454,3.493150684931507,11.22431506849315,59.30365296803652,near,2030s,typical,2039,1,0,527365.469889419,168.30655276053918,164.71005716911455,-1.4101078964380287,1.4101078964380287,-0.0008092197846698,0.6415952944916592,guangzhou_ssp585_near_2030s_typical_2039,typical,near_2030s,2030-2039,2039,typical,nearest_median_CDD18_within_time_slice,False,23.586146,57982.795143,34.811663,0,1,0
guangzhou_ssp585_near_2030s_typical_2039,reference,35040,16704,527365.469889419,26899.96921334802,168.30655276053918,164.71005716911455,25.346416590538627,0.2501694204980842,23.293821839080454,3.603927203065134,8.867075559356763,23.419540229885055,4.034961685823755,,,,,,0.0,,0.0,0.0,0.0,0.0,58.90981735159817,near,2030s,typical,2039,1,0,527365.469889419,168.30655276053918,164.71005716911455,0.0,-0.0,0.0,0.0,guangzhou_ssp585_near_2030s_typical_2039,typical,near_2030s,2030-2039,2039,typical,nearest_median_CDD18_within_time_slice,False,23.586146,57982.795143,34.811663,0,1,0
guangzhou_ssp585_near_2030s_heatwave_extreme_2033,diagnostic_reference,35040,16704,535277.5581753133,27058.549902538212,168.51945457545682,162.20290326313506,25.50846639290474,0.3043978687739463,29.388170498084293,7.219827586206897,10.343545980333346,29.591714559386972,7.836446360153257,,0.2295531495689644,0.1013871729957338,0.0723416361646263,0.0290455368311075,9.90780651340996,0.1592808953370112,28.861350574712645,18.953544061302683,0.0,0.0,59.666095890410965,near,2030s,heatwave_extreme,2033,1,2,535277.5581753133,168.51945457545682,162.20290326313506,0.0,-0.0,0.0,0.0,guangzhou_ssp585_near_2030s_heatwave_extreme_2033,stress,near_2030s,2030-2039,2033,heatwave_extreme,shared_max_CDD18_and_max_hours_temp_ge_35,True,23.934567,60325.235809,35.4307,9,1,1
guangzhou_ssp585_near_2030s_heatwave_extreme_2033,paperb_adaptive_band_relax,35040,16704,527362.5300853255,27183.726092763387,168.52284101205717,163.23300420456948,25.83700692710617,0.3964744572158365,33.41115900383142,8.477011494252872,11.397453166636671,34.15349616858238,9.482758620689657,,0.2978192049537497,0.1118823561654101,0.084416928105787,0.0274654280596229,11.488266283524904,0.1706576057606728,31.85464559386973,20.36637931034483,0.7848173515981735,3.4788812785388123,59.974315068493155,near,2030s,heatwave_extreme,2033,1,2,535277.5581753133,168.51945457545682,162.20290326313506,-1.4786773645002138,1.4786773645002138,0.0020095226446636,0.6350693610972735,guangzhou_ssp585_near_2030s_heatwave_extreme_2033,stress,near_2030s,2030-2039,2033,heatwave_extreme,shared_max_CDD18_and_max_hours_temp_ge_35,True,23.934567,60325.235809,35.4307,9,1,1
guangzhou_ssp585_near_2030s_heatwave_extreme_2033,paperb_gate_tail_asym_relax,35040,16704,527255.5447613676,27171.199724178925,168.52411574214173,162.46756998142257,25.842947650613592,0.398150941890166,33.39918582375479,8.47102490421456,11.28156710450638,33.44109195402299,9.249281609195402,,0.2985266282465674,0.1119150491570308,0.0845080916583024,0.0274069574987284,11.55411877394636,0.1708286800366839,31.9264846743295,20.37236590038314,6.712328767123288,0.0,59.974315068493155,near,2030s,heatwave_extreme,2033,1,2,535277.5581753133,168.51945457545682,162.20290326313506,-1.498664252110926,1.498664252110926,0.0027659516799838,0.1631701485997228,guangzhou_ssp585_near_2030s_heatwave_extreme_2033,stress,near_2030s,2030-2039,2033,heatwave_extreme,shared_max_CDD18_and_max_hours_temp_ge_35,True,23.934567,60325.235809,35.4307,9,1,1
guangzhou_ssp585_near_2030s_heatwave_extreme_2033,paperb_mu_relax,35040,16704,527371.4949525016,27171.211191344337,168.52390234495778,162.4677427307616,25.84178852371984,0.3978814655172414,33.38122605363984,8.47102490421456,11.274801241398018,33.435105363984675,9.249281609195402,,0.2984377113029041,0.1119488935252063,0.084525130790097,0.0274237627351092,11.566091954022989,0.1710164512205005,31.90852490421456,20.342432950191572,9.683219178082192,0.0,59.974315068493155,near,2030s,heatwave_extreme,2033,1,2,535277.5581753133,168.51945457545682,162.20290326313506,-1.477002557283058,1.477002557283058,0.0026393210873942,0.1632766506015848,guangzhou_ssp585_near_2030s_heatwave_extreme_2033,stress,near_2030s,2030-2039,2033,heatwave_extreme,shared_max_CDD18_and_max_hours_temp_ge_35,True,23.934567,60325.235809,35.4307,9,1,1
guangzhou_ssp585_near_2030s_heatwave_extreme_2033,paperb_pmv_exceedance_guard_relax,35040,16704,528102.8439854741,27154.990842320934,168.52365340543815,162.46874760569307,25.839155307729925,0.397494212962963,33.285440613026815,8.405172413793103,11.370145204121092,34.04573754789272,9.375,,0.2978378182763193,0.1119846293918963,0.0845014339912917,0.0274831954006045,11.476293103448276,0.1713484102447598,31.992337164750957,20.516044061302683,4.914383561643835,11.860730593607306,59.968607305936075,near,2030s,heatwave_extreme,2033,1,2,535277.5581753133,168.51945457545682,162.20290326313506,-1.340372687077862,1.340372687077862,0.0024915995556096,0.1638961678304573,guangzhou_ssp585_near_2030s_heatwave_extreme_2033,stress,near_2030s,2030-2039,2033,heatwave_extreme,shared_max_CDD18_and_max_hours_temp_ge_35,True,23.934567,60325.235809,35.4307,9,1,1
guangzhou_ssp585_near_2030s_heatwave_extreme_2033,paperb_ppd_guard_relax,35040,16704,528221.3382840652,27155.46277560974,168.52355265091936,162.47153953725746,25.83860107470389,0.397410799808429,33.24952107279693,8.405172413793103,11.366170165083258,34.01580459770115,9.363026819923371,,0.2977513492687645,0.1119825602795248,0.0844935113247085,0.0274890489548161,11.488266283524904,0.171392227442083,32.00431034482759,20.516044061302683,5.3938356164383565,11.752283105022832,59.968607305936075,near,2030s,heatwave_extreme,2033,1,2,535277.5581753133,168.51945457545682,162.20290326313506,-1.318235704725168,1.318235704725168,0.0024318114919541,0.1656174265183274,guangzhou_ssp585_near_2030s_heatwave_extreme_2033,stress,near_2030s,2030-2039,2033,heatwave_extreme,shared_max_CDD18_and_max_hours_temp_ge_35,True,23.934567,60325.235809,35.4307,9,1,1
guangzhou_ssp585_near_2030s_heatwave_extreme_2033,reference,35040,16704,535277.5581753133,27058.549902538212,168.51945457545682,162.20290326313506,25.50846639290474,0.3043978687739463,29.388170498084293,7.219827586206897,10.343545980333346,29.591714559386972,7.836446360153257,,,,,,0.0,,0.0,0.0,0.0,0.0,59.666095890410965,near,2030s,heatwave_extreme,2033,1,2,535277.5581753133,168.51945457545682,162.20290326313506,0.0,-0.0,0.0,0.0,guangzhou_ssp585_near_2030s_heatwave_extreme_2033,stress,near_2030s,2030-2039,2033,heatwave_extreme,shared_max_CDD18_and_max_hours_temp_ge_35,True,23.934567,60325.235809,35.4307,9,1,1
guangzhou_ssp585_mid_2050s_typical_2050,diagnostic_reference,35040,16704,541729.3684116795,28495.069721493313,169.97691442880614,165.1784355762399,25.58431410276793,0.3259521471902937,33.087883141762454,9.979645593869732,11.323133710764967,33.2375478927203,10.578304597701148,,0.2538709528303983,0.1075730879142326,0.0795219680847697,0.0280511198294628,12.990900383141762,0.1680934852037063,32.06417624521073,19.073275862068968,0.0,0.0,60.11986301369863,mid,2050s,typical,2050,2,0,541729.3684116795,169.97691442880614,165.1784355762399,0.0,-0.0,0.0,0.0,guangzhou_ssp585_mid_2050s_typical_2050,typical,mid_2050s,2050-2059,2050,typical,nearest_median_CDD18_within_time_slice,False,24.027006,62479.564271,36.017723,41,2,0
guangzhou_ssp585_mid_2050s_typical_2050,paperb_adaptive_band_relax,35040,16704,534315.3192286884,28661.262622373237,169.91549211999632,166.08149465638516,25.881444822323573,0.4095961446360153,38.60751915708812,11.20689655172414,12.42445389671457,39.535440613026815,12.266522988505749,,0.3163107854038166,0.1171665869389032,0.0906645998108983,0.0265019871280048,14.050526819923371,0.1798219440283478,34.985632183908045,20.935105363984675,1.726598173515982,4.317922374429224,60.25399543378995,mid,2050s,typical,2050,2,0,541729.3684116795,169.97691442880614,165.1784355762399,-1.368589117612129,1.368589117612129,-0.0361356770219201,0.5467172981720392,guangzhou_ssp585_mid_2050s_typical_2050,typical,mid_2050s,2050-2059,2050,typical,nearest_median_CDD18_within_time_slice,False,24.027006,62479.564271,36.017723,41,2,0
guangzhou_ssp585_mid_2050s_typical_2050,paperb_gate_tail_asym_relax,35040,16704,534191.2915971223,28813.38689052681,169.92996978198866,164.5466726472334,25.90384398853723,0.4159858716475095,38.332136015325666,11.188936781609195,12.247278576709023,38.40996168582376,11.991139846743296,,0.3195611954640173,0.1173257821793964,0.0910608755895213,0.026264906589875,14.056513409961685,0.1803375738817197,34.96168582375479,20.905172413793103,7.922374429223744,0.0,60.262557077625566,mid,2050s,typical,2050,2,0,541729.3684116795,169.97691442880614,165.1784355762399,-1.3914838762864925,1.3914838762864925,-0.0276182486164233,-0.3824730067230275,guangzhou_ssp585_mid_2050s_typical_2050,typical,mid_2050s,2050-2059,2050,typical,nearest_median_CDD18_within_time_slice,False,24.027006,62479.564271,36.017723,41,2,0
guangzhou_ssp585_mid_2050s_typical_2050,paperb_mu_relax,35040,16704,534258.3078247831,28813.40752537433,169.92997278238397,164.54888744446615,25.90309062158779,0.4158144157088123,38.30818965517241,11.182950191570882,12.243422986916109,38.3860153256705,11.991139846743296,,0.3195083196036016,0.1173426556155239,0.0910668187500609,0.0262758368654629,13.990660919540227,0.1803686499101225,34.92576628352491,20.935105363984675,10.33390410958904,0.0,60.26826484018265,mid,2050s,typical,2050,2,0,541729.3684116795,169.97691442880614,165.1784355762399,-1.379113081648331,1.379113081648331,-0.0276164834382974,-0.3811321554036517,guangzhou_ssp585_mid_2050s_typical_2050,typical,mid_2050s,2050-2059,2050,typical,nearest_median_CDD18_within_time_slice,False,24.027006,62479.564271,36.017723,41,2,0
