weather,paperb_met,strategy,occupied_steps,electricity_kwh,natural_gas_kwh,mean_top_c,mean_pmv,mean_ppd_pct,ppd_gt_10_pct,ppd_gt_25_pct,ppd_gt_50_pct,pmv_abs_gt_0_5_pct,pmv_abs_gt_1_0_pct,adaptive_violation_pct,adaptive_80_violation_pct,adaptive_90_violation_pct,mean_adaptive_warm_slack_80_c,mean_adaptive_warm_slack_90_c,mean_p_tail,p95_p_tail,p_tail_ge_0_20_pct,mean_warm_tail,mean_cold_tail,cooling_sp_mean_c,cooling_sp_max_c,heating_sp_mean_c,heating_sp_min_c,warm_requests_pct,cold_requests_pct,no_risk_requests_pct,warm_protection_actions,cold_protection_actions,energy_relax_actions,guard_hold_records,idle_actions,dominant_request_source,max_zone_p_tail_ge_0_20_pct,max_zone_mean_p_tail,electricity_change_vs_reference_pct
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.89,paperb_adaptive_band_relax,640,24195.60911128613,877.1232783528591,26.329713673699228,-0.04930833333333333,7.487119413895978,11.71875,0.0,0.0,10.625,0.0,0.0,0.0,0.0,4.5196052520944985,3.519605252094498,0.08609235404161945,0.14898319184650877,0.0,0.06165401028087025,0.02443834376074916,24.5,24.5,21.5,21.5,0.0,0.0,100.0,0,0,10,0,630,none,6.25,0.11781461463142726,-2.0869776494140013
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.89,paperb_gate_tail_asym_relax,640,24195.60911128613,877.1232783528591,26.329713673699228,-0.04930833333333333,7.512960546479482,11.875,0.0,0.0,10.625,0.0,0.0,0.0,0.0,4.5196052520944985,3.519605252094498,0.08609235404161945,0.14898319184650877,0.0,0.06165401028087025,0.02443834376074916,24.5,24.5,21.5,21.5,0.0,0.0,100.0,0,0,10,0,630,none,6.25,0.11781461463142726,-2.0869776494140013
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.89,paperb_pmv_exceedance_guard_relax,640,24196.443769605306,877.1231193454489,26.329778141622473,-0.049268750000000014,7.487485099856488,11.71875,0.0,0.0,10.78125,0.0,0.0,0.0,0.0,4.519540784171254,3.5195407841712543,0.08610132594635758,0.14898319184650877,0.0,0.06166126689098911,0.024440059055368422,24.4984375,24.5,21.5015625,21.5,0.0,0.0,100.0,0,0,10,69,630,none,6.25,0.1178366755520951,-2.0836000151380873
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.89,paperb_ppd_guard_relax,640,24196.443769605306,877.1231193454489,26.329778141622473,-0.049268750000000014,7.487485099856488,11.71875,0.0,0.0,10.78125,0.0,0.0,0.0,0.0,4.519540784171254,3.5195407841712543,0.08610132594635758,0.14898319184650877,0.0,0.06166126689098911,0.024440059055368422,24.4984375,24.5,21.5015625,21.5,0.0,0.0,100.0,0,0,10,75,630,none,6.25,0.1178366755520951,-2.0836000151380873
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.89,reference,640,24711.329024909137,877.1392428317896,26.10592862662113,-0.12289687499999999,8.282077322973585,27.968749999999996,0.0,0.0,25.624999999999996,0.0,0.15625,0.0,0.15625,4.743390299172603,3.743390299172603,,,0.0,,,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,0,640,,0.0,,0.0
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.9320000000000002,diagnostic_reference,640,24711.329024909137,877.1392428317896,26.10592862662113,0.06989479166666665,7.707572721128635,12.34375,1.5625,0.0,11.875,1.25,0.15625,0.0,0.15625,4.743390299172603,3.743390299172603,0.07623490370231656,0.14812743392922134,0.15625,0.05430844243400827,0.02192646126830824,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,0,640,,5.46875,0.10996391569270743,0.0
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.9320000000000002,paperb_adaptive_band_relax,640,24195.60911128613,877.1232783528591,26.329713673699228,0.13956874999999996,7.609681741785964,15.0,2.1875,0.0,14.531250000000002,1.7187500000000002,0.0,0.0,0.0,4.5196052520944985,3.519605252094498,0.08333922965017314,0.15264309497796694,0.15625,0.060619097681032866,0.022720131969140252,24.5,24.5,21.5,21.5,0.0,0.0,100.0,0,0,10,0,630,none,7.187499999999999,0.11747346114185153,-2.0869776494140013
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.9320000000000002,paperb_gate_tail_asym_relax,640,24196.25395765559,877.1231850684934,26.32978633028071,0.13958645833333333,7.573052074787332,14.531250000000002,2.1875,0.0,14.531250000000002,1.7187500000000002,0.0,0.0,0.0,4.519532595513019,3.5195325955130192,0.08334433445874835,0.15264309497796694,0.15625,0.060624075682280495,0.022720258776467817,24.498828125,24.5,21.5005859375,21.5,0.15625,0.0,99.84375,1,0,11,0,628,none,7.187499999999999,0.11754141717936842,-2.084368132261716
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.9320000000000002,paperb_pmv_exceedance_guard_relax,640,24199.29643654585,877.1232835437178,26.32959415713764,0.13955208333333333,7.610683472105802,15.0,2.1875,0.0,14.6875,1.7187500000000002,0.0,0.0,0.0,4.519724768656087,3.5197247686560873,0.08334557209039047,0.15264309497796694,0.15625,0.060630248395619125,0.022715323694771285,24.473828125,24.5,21.50390625,21.5,1.7187500000000002,0.0,98.28125,2,0,12,83,626,none,6.875000000000001,0.11726570676197431,-2.0720560510814945
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.9320000000000002,paperb_ppd_guard_relax,640,24199.296407441834,877.1232837064865,26.329593880985374,0.13955729166666667,7.610744596618277,15.0,2.1875,0.0,14.6875,1.7187500000000002,0.0,0.0,0.0,4.519725044808356,3.5197250448083564,0.0833426420516761,0.15264309497796694,0.15625,0.060628888611275765,0.022713753440400292,24.4703125,24.5,21.50390625,21.5,2.1875,0.0,97.8125,2,0,12,82,626,none,6.875000000000001,0.11726570676197431,-2.0720561688574946
