weather,strategy,occupied_steps,electricity_kwh,natural_gas_kwh,mean_top_c,mean_pmv,mean_ppd_pct,ppd_gt_10_pct,ppd_gt_25_pct,ppd_gt_50_pct,pmv_abs_gt_0_5_pct,pmv_abs_gt_1_0_pct,adaptive_violation_pct,adaptive_80_violation_pct,adaptive_90_violation_pct,mean_adaptive_warm_slack_80_c,mean_adaptive_warm_slack_90_c,mean_p_tail,p95_p_tail,p_tail_ge_0_20_pct,mean_warm_tail,mean_cold_tail,cooling_sp_mean_c,cooling_sp_max_c,heating_sp_mean_c,heating_sp_min_c,warm_requests_pct,cold_requests_pct,no_risk_requests_pct,warm_protection_actions,cold_protection_actions,energy_relax_actions,guard_hold_records,idle_actions,dominant_request_source,max_zone_p_tail_ge_0_20_pct,max_zone_mean_p_tail,electricity_change_vs_reference_pct
guangzhou_ssp585_baseline_2020s_hot_2028,paperb_pmv_exceedance_guard_relax,640,22480.725736140077,877.1544947733968,25.974739848142406,0.4608958333333334,10.62695738704841,32.5,7.187499999999999,0.0,31.093749999999996,7.03125,0.0,0.0,0.0,4.302333475809094,3.302333475809094,0.09926776217344667,0.23743869313191,7.187499999999999,0.07260095691102653,0.026666805262420108,24.39218807220459,24.5,21.566016101837157,21.5,7.03125,0.0,92.96875,12,0,11,154,617,none,21.09375,0.14083752186619156,-1.9997806295751985
guangzhou_ssp585_baseline_2020s_hot_2028,paperb_pmv_relax,640,22530.61159796125,877.1559278939658,25.973642851625875,0.46164375,10.685622714957546,32.5,7.187499999999999,0.0,31.406250000000004,7.187499999999999,0.0,0.0,0.0,4.303430472325632,3.303430472325632,0.10002479016607627,0.24165593999672438,7.187499999999999,0.07325587708249538,0.02676891308358083,24.278124737739564,24.5,21.547069990634917,21.5,31.406250000000004,0.0,68.59375,43,0,27,0,570,none,22.03125,0.14220249178195005,-1.7823132106253525
guangzhou_ssp585_baseline_2020s_hot_2028,paperb_ppd_guard_relax,640,22483.148693195784,877.1546298739651,25.975253247328208,0.4609729166666666,10.625564721579382,32.34375,7.187499999999999,0.0,30.46875,7.187499999999999,0.0,0.0,0.0,4.3018200766232955,3.301820076623295,0.09933544174946554,0.237703904398374,7.187499999999999,0.07264743944625911,0.026688002303206403,24.39140682220459,24.5,21.56679735183716,21.5,7.187499999999999,0.0,92.8125,12,0,11,161,617,none,21.09375,0.14099390510859217,-1.9892182337801767
guangzhou_ssp585_baseline_2020s_hot_2028,reference,640,22939.464707896837,877.2023473629305,25.63611579944966,0.36782499999999996,9.095521555774178,25.46875,3.5937499999999996,0.0,25.46875,2.8125,0.0,0.0,0.0,4.6409575245018475,3.6409575245018475,,,0.0,,,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,0,640,,0.0,,0.0
guangzhou_ssp585_baseline_2020s_typical_2025,diagnostic_reference,640,24081.43400944812,877.1788049571487,25.96258180139324,0.4760270833333333,11.353954331687609,41.25,7.8125,0.0,40.625,7.34375,0.0,0.0,0.0,4.467193970065405,3.467193970065405,0.10298786462760398,0.24884268456148675,8.90625,0.07684310827775515,0.026144756349848815,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,0,640,,31.093749999999996,0.1563740252893704,0.0
guangzhou_ssp585_baseline_2020s_typical_2025,paperb_adaptive_band_relax,640,23572.1279142065,877.1580423376942,26.257055116147285,0.5558708333333333,13.065861667280785,50.0,9.6875,0.0,48.4375,8.90625,0.0,0.0,0.0,4.172720655311365,3.172720655311365,0.11472725788568247,0.2685396837983004,11.40625,0.09065671840936254,0.02407053947631988,24.5,24.5,21.5,21.5,0.0,0.0,100.0,0,0,10,0,630,none,34.84375,0.16921563982081775,-2.1149325868293323
guangzhou_ssp585_baseline_2020s_typical_2025,paperb_gate_tail_asym_relax,640,23573.249953881634,877.15813731755,26.25714258199189,0.5559020833333334,12.907042898287767,48.75,9.375,0.0,48.4375,8.90625,0.0,0.0,0.0,4.172633189466759,3.172633189466759,0.11475112612637103,0.2685396837983004,11.40625,0.09068176023299497,0.02406936589337604,24.418554401397706,24.5,21.52187466621399,21.5,11.40625,0.0,88.59375,17,0,15,0,608,none,34.84375,0.16949672437063623,-2.110273231100379
guangzhou_ssp585_baseline_2020s_typical_2025,paperb_pmv_exceedance_guard_relax,640,23617.294370340074,877.1583849593486,26.253180640903764,0.5551427083333333,13.053885345345325,49.21875,9.6875,0.0,48.125,8.90625,0.0,0.0,0.0,4.176595130554881,3.1765951305548823,0.11504564089613889,0.2684917527721101,10.78125,0.09087243361123538,0.024173207284903457,24.374512672424316,24.5,21.567432498931886,21.5,8.90625,0.0,91.09375,15,0,12,251,613,none,35.46875,0.17005257925289022,-1.9273754167876578
guangzhou_ssp585_baseline_2020s_typical_2025,paperb_pmv_relax,640,23719.783738019698,877.1576293838705,26.241942142939713,0.55335625,13.00547447363625,49.375,9.6875,0.0,47.96875,8.90625,0.0,0.0,0.0,4.187833628518935,3.1878336285189346,0.1152134409147623,0.26780707652704316,10.625,0.09085280434395701,0.02436063657080521,24.16191393136978,24.5,21.55253890156746,21.5,47.96875,0.0,52.03124999999999,55,0,37,0,548,pmv_warm,36.71875,0.17172953826832524,-1.5017804640974908
guangzhou_ssp585_baseline_2020s_typical_2025,paperb_ppd_guard_relax,640,23617.53475801531,877.1584048882393,26.253109559750122,0.555128125,13.053332634602953,49.21875,9.6875,0.0,48.125,8.90625,0.0,0.0,0.0,4.1766662117085245,3.1766662117085245,0.11504712520335647,0.2684917527721101,10.78125,0.09086992176597304,0.02417720343738337,24.366602516174318,24.5,21.559546756744385,21.5,9.6875,0.0,90.3125,16,0,12,253,612,none,35.46875,0.17008700001134072,-1.92637718854618
